anchor_ts_ms,hedge_ts_ms,market_end_ms,market_slug,leg1_budget,first_ask,second_ask,qty,leg1_cost,leg2_cost,friction,total_cost,pair_cost_net,payout,pnl
1789765359942,1789765374995,1789765500000,btc-updown-5m-1789765200,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,90.9090909090909,-1.3636363636363598
1789765375566,1789765390643,1789765500000,btc-updown-5m-1789765200,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,90.9090909090909,-1.3636363636363598
1789765390643,1789765405676,1789765500000,btc-updown-5m-1789765200,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,90.9090909090909,-1.3636363636363598
1789765405676,1789765420753,1789765500000,btc-updown-5m-1789765200,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,90.9090909090909,-1.3636363636363598
1789765420928,1789765436050,1789765500000,btc-updown-5m-1789765200,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,90.9090909090909,-1.3636363636363598
1789765436494,1789765451590,1789765500000,btc-updown-5m-1789765200,10.0,0.11,0.9,31.642390758412954,3.480662983425425,28.47815168257166,0.15821195379206476,32.11702661978915,1.015,31.642390758412954,-0.4746358613761963
1789765741765,1789765756815,1789765800000,btc-updown-5m-1789765500,10.0,0.07,0.93,7.0,0.49000000000000005,6.510000000000001,0.035,7.035000000000001,1.005,7.0,-0.03500000000000103
1789765757479,1789765772552,1789765800000,btc-updown-5m-1789765500,10.0,0.08,0.94,125.0,10.0,117.5,0.625,128.125,1.025,125.0,-3.125
1789765773058,1789765788065,1789765800000,btc-updown-5m-1789765500,10.0,0.07,0.94,142.85714285714283,10.0,134.28571428571425,0.7142857142857142,144.99999999999997,1.015,142.85714285714283,-2.142857142857139
1789765788917,1789765803979,1789765800000,btc-updown-5m-1789765500,10.0,0.07,0.28,142.85714285714283,10.0,40.0,0.7142857142857142,50.714285714285715,0.35500000000000004,142.85714285714283,92.14285714285711
