market_slug,trades,pnl,wins
btc-updown-5m-1789765500,4,125.98075,1
btc-updown-5m-1789789200,2,68.6145,1
btc-updown-5m-1789766400,3,23.793499999999995,1
btc-updown-5m-1789778400,4,20.92824999999999,1
btc-updown-5m-1789781700,2,7.794750000000018,1
btc-updown-5m-1789797900,1,0.008505395266352966,1
btc-updown-5m-1789801200,1,-7.171314741035925e-05,0
btc-updown-5m-1789797600,2,-0.27885050133050293,0
btc-updown-5m-1789797000,1,-0.5685084915084886,0
btc-updown-5m-1789795500,1,-0.832649142857143,0
btc-updown-5m-1789794900,2,-1.090049999999998,0
btc-updown-5m-1789792800,2,-2.253844209666582,0
btc-updown-5m-1789783800,2,-2.6525501462275827,0
btc-updown-5m-1789790400,1,-2.876029890491452,0
btc-updown-5m-1789793400,1,-3.114663768046043,0
btc-updown-5m-1789790700,3,-3.2423056183138605,0
btc-updown-5m-1789776900,4,-3.8665933730253172,0
btc-updown-5m-1789789500,2,-4.695217575698891,0
btc-updown-5m-1789782000,4,-4.757856386926356,0
btc-updown-5m-1789777200,2,-4.778428820136533,0
btc-updown-5m-1789778100,1,-5.134849648854981,0
btc-updown-5m-1789779300,1,-5.213551025628135,0
btc-updown-5m-1789782300,1,-6.336355965001445,0
btc-updown-5m-1789776300,3,-6.61442078446963,0
btc-updown-5m-1789765200,3,-7.2368718232044245,0
btc-updown-5m-1789775700,1,-7.687152891323876,0
btc-updown-5m-1789773000,2,-7.863753810948076,0
btc-updown-5m-1789772400,4,-8.050139927564892,0
btc-updown-5m-1789768500,4,-8.452127100056188,0
btc-updown-5m-1789768200,3,-13.115874037591322,0
btc-updown-5m-1789776600,3,-15.434918937489456,0
