leg1_budget,initial_capital,final_capital,profit,return_pct,completed_pairs,wins,losses,win_rate_pct,max_drawdown,max_drawdown_pct,rejected_no_cash,hedge_reduced,hedge_failed,leg1_exit_events,markets_traded,profitable_markets,losing_markets,best_market_pnl,worst_market_pnl
10.0,500.0,426.971458499701,-73.02854150029901,-14.605708300059803,364,32,332,8.791208791208792,416.27005702484905,53.81585426034864,0,145,145,290,77,23,54,86.83999999999997,-18.556383449304292
20.0,500.0,1.0994850796020593e-07,-499.99999989005147,-99.9999999780103,168,16,152,9.523809523809524,633.1087931848782,99.99999998263355,0,101,341,442,61,10,51,125.98075,-23.47483559443512
50.0,500.0,0.0,-500.0,-100.0,70,6,64,8.571428571428571,636.6717666961353,100.0,193,49,245,294,31,6,25,125.98075,-15.434918937489456
