anchor_ts_ms,hedge_ts_ms,market_end_ms,market_slug,leg1_budget,first_ask,second_ask,qty,leg1_cost,leg2_cost,friction,total_cost,pair_cost_net,payout,pnl
1789765359942,1789765374995,1789765500000,btc-updown-5m-1789765200,20.0,0.11,0.9,98.56,10.8416,88.70400000000001,0.4928,100.03840000000001,1.015,98.56,-1.4784000000000077
1789765375566,1789765390643,1789765500000,btc-updown-5m-1789765200,20.0,0.11,0.9,181.8181818181818,20.0,163.63636363636363,0.9090909090909091,184.54545454545453,1.015,181.8181818181818,-2.7272727272727195
1789765390643,1789765405676,1789765500000,btc-updown-5m-1789765200,20.0,0.11,0.9,166.4,18.304000000000002,149.76000000000002,0.8320000000000001,168.89600000000002,1.015,166.4,-2.4960000000000093
1789765405676,1789765420753,1789765500000,btc-updown-5m-1789765200,20.0,0.11,0.9,29.133661476644928,3.204702762430942,26.220295328980434,0.14566830738322464,29.5706663987946,1.015,29.133661476644928,-0.4370049221496721
1789765741765,1789765756815,1789765800000,btc-updown-5m-1789765500,20.0,0.07,0.93,7.0,0.49000000000000005,6.510000000000001,0.035,7.035000000000001,1.005,7.0,-0.03500000000000103
1789765757479,1789765772552,1789765800000,btc-updown-5m-1789765500,20.0,0.08,0.94,199.77,15.981600000000002,187.78379999999999,0.9988500000000001,204.76425,1.025,199.77,-4.994249999999994
1789765773058,1789765788065,1789765800000,btc-updown-5m-1789765500,20.0,0.07,0.94,167.0,11.690000000000001,156.98,0.835,169.505,1.015,167.0,-2.5049999999999955
1789765788917,1789765803979,1789765800000,btc-updown-5m-1789765500,20.0,0.07,0.28,207.0,14.490000000000002,57.96000000000001,1.035,73.48500000000001,0.35500000000000004,207.0,133.515
1789766650992,1789766666015,1789766700000,btc-updown-5m-1789766400,20.0,0.14,0.92,19.16,2.6824000000000003,17.627200000000002,0.0958,20.405400000000004,1.065,19.16,-1.2454000000000036
1789766666619,1789766681643,1789766700000,btc-updown-5m-1789766400,20.0,0.1,0.94,50.0,5.0,47.0,0.25,52.25,1.045,50.0,-2.25
1789766682038,1789766703624,1789766700000,btc-updown-5m-1789766400,20.0,0.09,0.5,67.38,6.0642,33.69,0.3369,40.0911,0.595,67.38,27.288899999999998
1789768449781,1789768464781,1789768500000,btc-updown-5m-1789768200,20.0,0.03,0.98,136.33,4.0899,133.60340000000002,0.6816500000000001,138.37495,1.015,136.33,-2.04495
1789768465395,1789768480396,1789768500000,btc-updown-5m-1789768200,20.0,0.03,0.98,16.33,0.48989999999999995,16.0034,0.08164999999999999,16.574949999999998,1.015,16.33,-0.24494999999999933
1789768481257,1789768496281,1789768500000,btc-updown-5m-1789768200,20.0,0.03,0.99,434.34753094957455,13.030425928487237,430.0040556400788,2.1717376547478726,445.2062192233139,1.025,434.34753094957455,-10.858688273739347
1789768731390,1789768746406,1789768800000,btc-updown-5m-1789768500,20.0,0.04,0.97,134.99,5.3996,130.9403,0.67495,137.01485,1.015,134.99,-2.0248499999999865
1789768747005,1789768762014,1789768800000,btc-updown-5m-1789768500,20.0,0.04,0.97,167.23,6.6892,162.2131,0.83615,169.73845,1.015,167.23,-2.5084500000000105
1789768762883,1789768777900,1789768800000,btc-updown-5m-1789768500,20.0,0.04,0.97,157.14,6.2856,152.42579999999998,0.7857,159.49709999999996,1.015,157.14,-2.357099999999974
1789768778640,1789768793683,1789768800000,btc-updown-5m-1789768500,20.0,0.04,0.97,105.45726251238423,4.218290500495369,102.2935446370127,0.5272863125619212,107.03912145007,1.015,105.45726251238423,-1.581858937685766
1789772608976,1789772624027,1789772700000,btc-updown-5m-1789772400,20.0,0.14,0.87,142.85714285714283,20.0,124.28571428571426,0.7142857142857142,145.0,1.015,142.85714285714283,-2.142857142857167
1789772624721,1789772639744,1789772700000,btc-updown-5m-1789772400,20.0,0.14,0.87,142.85714285714283,20.0,124.28571428571426,0.7142857142857142,145.0,1.015,142.85714285714283,-2.142857142857167
1789772640395,1789772655411,1789772700000,btc-updown-5m-1789772400,20.0,0.14,0.87,142.85714285714283,20.0,124.28571428571426,0.7142857142857142,145.0,1.015,142.85714285714283,-2.142857142857167
1789772656040,1789772671370,1789772700000,btc-updown-5m-1789772400,20.0,0.14,0.87,29.29,4.1006,25.4823,0.14645,29.72935,1.015,29.29,-0.439350000000001
1789772675638,1789772704942,1789772700000,btc-updown-5m-1789772400,20.0,0.14,0.45,142.85714285714283,20.0,64.28571428571428,0.7142857142857142,84.99999999999999,0.5950000000000001,142.85714285714283,57.85714285714285
1789773246231,1789773261256,1789773300000,btc-updown-5m-1789773000,20.0,0.05,0.96,400.0,20.0,384.0,2.0,406.0,1.015,400.0,-6.0
1789773261808,1789773276845,1789773300000,btc-updown-5m-1789773000,20.0,0.05,0.96,189.78,9.489,182.1888,0.9489000000000001,192.6267,1.015,189.78,-2.8466999999999985
1789773277565,1789773292573,1789773300000,btc-updown-5m-1789773000,20.0,0.05,0.96,2.5795984584292846,0.12897992292146424,2.476414520092113,0.012897992292146424,2.6182924353057238,1.015,2.5795984584292846,-0.03869397687643916
1789773293109,1789773308110,1789773300000,btc-updown-5m-1789773000,20.0,0.05,0.57,11.089245324631007,0.5544622662315504,6.320869835039673,0.055446226623155036,6.930778327894378,0.625,11.089245324631007,4.158466996736628
1789775849650,1789775864787,1789776000000,btc-updown-5m-1789775700,20.0,0.08,0.93,250.0,20.0,232.5,1.25,253.75,1.015,250.0,-3.75
1789775865448,1789775880490,1789776000000,btc-updown-5m-1789775700,20.0,0.08,0.92,30.0,2.4,27.6,0.15,30.15,1.005,30.0,-0.14999999999999858
1789775880571,1789775895623,1789776000000,btc-updown-5m-1789775700,20.0,0.09,0.93,185.0,16.65,172.05,0.925,189.62500000000003,1.025,185.0,-4.625000000000028
1789775895623,1789775910697,1789776000000,btc-updown-5m-1789775700,20.0,0.08,0.91,58.27,4.6616,53.02570000000001,0.29135,57.97865000000001,0.995,58.27,0.2913499999999942
1789775911109,1789775926111,1789776000000,btc-updown-5m-1789775700,20.0,0.1,0.92,59.35224212981071,5.935224212981072,54.60406275942586,0.2967612106490536,60.83604818305598,1.025,59.35224212981071,-1.4838060532452673
1789776473231,1789776488249,1789776600000,btc-updown-5m-1789776300,20.0,0.07,0.94,20.0,1.4000000000000001,18.799999999999997,0.1,20.299999999999997,1.015,20.0,-0.29999999999999716
1789776489389,1789776504401,1789776600000,btc-updown-5m-1789776300,20.0,0.07,0.94,75.0,5.250000000000001,70.5,0.375,76.125,1.015,75.0,-1.125
1789776505354,1789776520396,1789776600000,btc-updown-5m-1789776300,20.0,0.07,0.94,285.71428571428567,20.0,268.5714285714285,1.4285714285714284,289.99999999999994,1.015,285.71428571428567,-4.285714285714278
1789776520984,1789776536013,1789776600000,btc-updown-5m-1789776300,20.0,0.07,0.76,39.03,2.7321000000000004,29.6628,0.19515000000000002,32.59005,0.8350000000000001,39.03,6.439950000000003
1789776742369,1789776757412,1789776900000,btc-updown-5m-1789776600,20.0,0.14,0.87,142.85714285714283,20.0,124.28571428571426,0.7142857142857142,145.0,1.015,142.85714285714283,-2.142857142857167
1789776757979,1789776773003,1789776900000,btc-updown-5m-1789776600,20.0,0.14,0.87,85.0,11.9,73.95,0.425,86.275,1.015,85.0,-1.2750000000000057
1789776773161,1789776788181,1789776900000,btc-updown-5m-1789776600,20.0,0.14,0.98,142.85714285714283,20.0,139.99999999999997,0.7142857142857142,160.7142857142857,1.125,142.85714285714283,-17.85714285714286
1789776789162,1789776804221,1789776900000,btc-updown-5m-1789776600,20.0,0.03,0.98,146.65570629567452,4.399671188870236,143.72259216976101,0.7332785314783726,148.8555418901096,1.015,146.65570629567452,-2.1998355944350863
1789777042133,1789777057146,1789777200000,btc-updown-5m-1789776900,20.0,0.12,0.89,85.0,10.2,75.65,0.425,86.275,1.015,85.0,-1.2750000000000057
1789777057542,1789777072620,1789777200000,btc-updown-5m-1789776900,20.0,0.12,0.89,110.0,13.2,97.9,0.55,111.65,1.015,110.0,-1.6500000000000057
1789777073111,1789777088254,1789777200000,btc-updown-5m-1789776900,20.0,0.12,0.88,166.66666666666669,20.0,146.66666666666669,0.8333333333333335,167.50000000000003,1.005,166.66666666666669,-0.8333333333333428
1789777089061,1789777104083,1789777200000,btc-updown-5m-1789776900,20.0,0.13,0.88,99.62,12.950600000000001,87.6656,0.49810000000000004,101.11429999999999,1.015,99.62,-1.4942999999999813
1789777104826,1789777119873,1789777200000,btc-updown-5m-1789776900,20.0,0.13,0.88,40.70215487322697,5.291280133519506,35.817896288439734,0.20351077436613485,41.31268719632538,1.015,40.70215487322697,-0.6105323230984112
1789777446719,1789777461792,1789777500000,btc-updown-5m-1789777200,20.0,0.04,0.97,299.27,11.970799999999999,290.2919,1.4963499999999998,303.75905,1.015,299.27,-4.48905000000002
1789777462663,1789777477672,1789777500000,btc-updown-5m-1789777200,20.0,0.04,0.96,101.77,4.0708,97.69919999999999,0.50885,102.27884999999999,1.005,101.77,-0.5088499999999954
1789777477933,1789777492960,1789777500000,btc-updown-5m-1789777200,20.0,0.05,0.97,45.0,2.25,43.65,0.225,46.125,1.025,45.0,-1.125
1789777493786,1789777508789,1789777500000,btc-updown-5m-1789777200,20.0,0.04,0.44,84.3107225615588,3.372428902462352,37.09671792708588,0.421553612807794,40.89070044235602,0.485,84.3107225615588,43.420022119202784
1789778339330,1789778354372,1789778400000,btc-updown-5m-1789778100,20.0,0.03,0.98,398.82,11.964599999999999,390.8436,1.9941,404.8023,1.015,398.82,-5.982300000000009
1789778354971,1789778369985,1789778400000,btc-updown-5m-1789778100,20.0,0.03,0.98,106.26391461410365,3.1879174384231095,104.13863632182158,0.5313195730705182,107.85787333331521,1.015,106.26391461410365,-1.5939587192115567
1789778641299,1789778656576,1789778700000,btc-updown-5m-1789778400,20.0,0.08,0.93,36.58,2.9264,34.0194,0.1829,37.128699999999995,1.015,36.58,-0.5486999999999966
1789778656930,1789778671972,1789778700000,btc-updown-5m-1789778400,20.0,0.08,0.93,101.87,8.149600000000001,94.73910000000001,0.5093500000000001,103.39805000000001,1.015,101.87,-1.5280500000000075
1789778672737,1789778687775,1789778700000,btc-updown-5m-1789778400,20.0,0.08,0.92,10.0,0.8,9.200000000000001,0.05,10.050000000000002,1.005,10.0,-0.05000000000000249
1789778687874,1789778703092,1789778700000,btc-updown-5m-1789778400,20.0,0.09,0.47,53.0,4.77,24.91,0.265,29.945,0.565,53.0,23.055
1789779462445,1789779477479,1789779600000,btc-updown-5m-1789779300,20.0,0.11,0.9,181.8181818181818,20.0,163.63636363636363,0.9090909090909091,184.54545454545453,1.015,181.8181818181818,-2.7272727272727195
1789779478257,1789779493290,1789779600000,btc-updown-5m-1789779300,20.0,0.11,0.9,181.8181818181818,20.0,163.63636363636363,0.9090909090909091,184.54545454545453,1.015,181.8181818181818,-2.7272727272727195
1789779494134,1789779509247,1789779600000,btc-updown-5m-1789779300,20.0,0.11,0.9,153.3319950532536,16.866519455857894,137.99879554792824,0.766659975266268,155.6319749790524,1.015,153.3319950532536,-2.2999799257987945
1789781971768,1789781986790,1789782000000,btc-updown-5m-1789781700,20.0,0.03,0.98,140.35,4.2105,137.54299999999998,0.70175,142.45524999999998,1.015,140.35,-2.105249999999984
1789781987259,1789782002282,1789782000000,btc-updown-5m-1789781700,20.0,0.03,0.47,20.0,0.6,9.399999999999999,0.1,10.099999999999998,0.505,20.0,9.900000000000002
1789782234122,1789782249134,1789782300000,btc-updown-5m-1789782000,20.0,0.05,0.96,95.0,4.75,91.2,0.47500000000000003,96.425,1.015,95.0,-1.4249999999999972
1789782249722,1789782264742,1789782300000,btc-updown-5m-1789782000,20.0,0.05,0.96,100.0,5.0,96.0,0.5,101.5,1.015,100.0,-1.5
1789782265220,1789782280298,1789782300000,btc-updown-5m-1789782000,20.0,0.05,0.96,50.0,2.5,48.0,0.25,50.75,1.015,50.0,-0.75
1789782280692,1789782295759,1789782300000,btc-updown-5m-1789782000,20.0,0.05,0.97,225.266338122217,11.263316906110852,218.5083479785505,1.126331690611085,230.89799657527243,1.025,225.266338122217,-5.631658453055422
1789782393885,1789782408919,1789782600000,btc-updown-5m-1789782300,20.0,0.08,0.94,250.0,20.0,235.0,1.25,256.25,1.025,250.0,-6.25
1789782409345,1789782424699,1789782600000,btc-updown-5m-1789782300,20.0,0.07,0.94,92.32,6.4624,86.78079999999999,0.46159999999999995,93.70479999999999,1.015,92.32,-1.3847999999999985
1789782425007,1789782440061,1789782600000,btc-updown-5m-1789782300,20.0,0.07,0.94,109.98427314520319,7.698899120164224,103.38521675649099,0.5499213657260159,111.63403724238124,1.015,109.98427314520319,-1.6497640971780498
1789783937540,1789783952637,1789784100000,btc-updown-5m-1789783800,20.0,0.13,0.88,21.86,2.8418,19.2368,0.1093,22.1879,1.015,21.86,-0.32789999999999964
1789783952637,1789783967656,1789784100000,btc-updown-5m-1789783800,20.0,0.13,0.88,153.84615384615384,20.0,135.3846153846154,0.7692307692307692,156.15384615384616,1.015,153.84615384615384,-2.307692307692321
1789783968337,1789783983367,1789784100000,btc-updown-5m-1789783800,20.0,0.13,0.88,153.84615384615384,20.0,135.3846153846154,0.7692307692307692,156.15384615384616,1.015,153.84615384615384,-2.307692307692321
1789783983786,1789783999489,1789784100000,btc-updown-5m-1789783800,20.0,0.13,0.88,94.0,12.22,82.72,0.47000000000000003,95.41,1.015,94.0,-1.4099999999999966
