market_slug,trades,pnl,wins
btc-updown-5m-1789765500,4,86.83999999999997,1
btc-updown-5m-1789789200,2,68.6145,1
btc-updown-5m-1789777200,4,68.20965000000001,1
btc-updown-5m-1789825500,4,59.225885714285724,2
btc-updown-5m-1789768200,4,47.052631276830226,1
btc-updown-5m-1789835100,4,38.5623,1
btc-updown-5m-1789794900,4,37.527721428571425,1
btc-updown-5m-1789833000,5,34.96428571428567,1
btc-updown-5m-1789822800,3,32.87795,1
btc-updown-5m-1789820100,6,30.32142857142852,1
btc-updown-5m-1789782000,5,28.9063,1
btc-updown-5m-1789790400,3,26.185,1
btc-updown-5m-1789772400,5,25.27493571428567,1
btc-updown-5m-1789775700,10,25.20079619029851,2
btc-updown-5m-1789766400,3,23.793499999999995,1
btc-updown-5m-1789778400,4,20.92824999999999,1
btc-updown-5m-1789832100,5,20.304567665359812,1
btc-updown-5m-1789773000,4,18.15162876726184,1
btc-updown-5m-1789803600,4,10.625071428571424,1
btc-updown-5m-1789781700,2,7.794750000000018,1
btc-updown-5m-1789801200,7,6.433157692307679,1
btc-updown-5m-1789776900,9,5.583526923076903,1
btc-updown-5m-1789776300,4,2.872092857142867,1
btc-updown-5m-1789800900,1,-0.03329999999999966,0
btc-updown-5m-1789800300,1,-0.09795000000000087,0
btc-updown-5m-1789818300,1,-0.3571428571428612,0
btc-updown-5m-1789828200,4,-0.5127272727272798,1
btc-updown-5m-1789807500,4,-0.7045499999999945,1
btc-updown-5m-1789804500,5,-2.0607142857143343,1
btc-updown-5m-1789836000,7,-5.612358461296843,0
btc-updown-5m-1789832400,1,-5.6199157788338425,0
btc-updown-5m-1789827600,5,-5.779510365227937,0
btc-updown-5m-1789822200,6,-5.890720549183676,1
btc-updown-5m-1789831800,7,-6.196946712962934,0
btc-updown-5m-1789820700,4,-6.224090037662812,0
btc-updown-5m-1789813200,8,-6.269470370253716,0
btc-updown-5m-1789827900,6,-6.432407200691863,0
btc-updown-5m-1789826400,1,-6.950547842236688,0
btc-updown-5m-1789814700,4,-6.997114504844047,0
btc-updown-5m-1789808400,5,-7.182900000000004,0
btc-updown-5m-1789830000,3,-7.227890097920664,0
btc-updown-5m-1789821600,7,-7.2912402932154485,0
btc-updown-5m-1789765200,6,-7.292817679557995,0
btc-updown-5m-1789827300,8,-7.487733570024446,0
btc-updown-5m-1789809600,5,-7.524378545710718,0
btc-updown-5m-1789811100,3,-7.5816405112149425,0
btc-updown-5m-1789808700,5,-7.808008012813438,0
btc-updown-5m-1789826700,4,-7.891410874897929,0
btc-updown-5m-1789806900,2,-8.277788207440693,0
btc-updown-5m-1789815600,5,-8.42795815517837,0
btc-updown-5m-1789825800,4,-8.44229364218878,0
btc-updown-5m-1789795500,5,-8.959048701298718,0
btc-updown-5m-1789823700,2,-9.10905673536547,0
btc-updown-5m-1789768500,4,-9.34113279963887,0
btc-updown-5m-1789830600,4,-9.513242857142876,1
btc-updown-5m-1789803000,2,-9.60288994680684,0
btc-updown-5m-1789802100,2,-9.756864327482077,0
btc-updown-5m-1789824600,4,-10.5542815851984,0
btc-updown-5m-1789812600,5,-10.569250462860872,0
btc-updown-5m-1789779300,8,-10.609773265018703,0
btc-updown-5m-1789799700,5,-10.727632579891221,0
btc-updown-5m-1789804200,8,-11.190147468766005,0
btc-updown-5m-1789797900,9,-11.27813354416066,1
btc-updown-5m-1789806000,6,-11.601735902987413,0
btc-updown-5m-1789805400,8,-11.949238178923956,0
btc-updown-5m-1789778100,3,-12.011078543504965,0
btc-updown-5m-1789797600,8,-12.018833359103342,0
btc-updown-5m-1789805100,7,-12.040521063828532,0
btc-updown-5m-1789793400,4,-12.425659709670157,0
btc-updown-5m-1789782300,7,-12.606391605372718,0
btc-updown-5m-1789792800,3,-13.292027572987536,0
btc-updown-5m-1789797000,3,-13.375593806491025,0
btc-updown-5m-1789789500,4,-13.652371753403784,0
btc-updown-5m-1789790700,8,-14.477792387279795,1
btc-updown-5m-1789819500,6,-15.083496860218755,0
btc-updown-5m-1789783800,7,-15.52909141266484,0
btc-updown-5m-1789776600,5,-18.556383449304292,0
