market_slug,trades,pnl,wins,total_cost
btc-updown-5m-1789765500,4,86.83999999999997,1,330.8742857142857
btc-updown-5m-1789789200,2,68.6145,1,142.68550000000002
btc-updown-5m-1789777200,4,68.20965000000001,1,471.46035
btc-updown-5m-1789831800,10,61.50129999999999,1,724.1053666666667
btc-updown-5m-1789825500,4,59.225885714285724,2,316.43125714285713
btc-updown-5m-1789768200,4,54.68621227904481,1,596.6474896932207
btc-updown-5m-1789826400,2,51.90219999999999,1,625.4177999999999
btc-updown-5m-1789832100,5,48.37028809523812,1,416.1435214285714
btc-updown-5m-1789824600,6,47.08988001809388,1,833.5700412057672
btc-updown-5m-1789808400,6,44.692099999999996,1,615.1679
btc-updown-5m-1789835100,4,38.5623,1,168.8177
btc-updown-5m-1789797900,10,38.033106060606045,2,817.7186111111112
btc-updown-5m-1789794900,4,37.527721428571425,1,127.29084999999999
btc-updown-5m-1789805400,10,36.89581961371959,1,754.9868244089243
btc-updown-5m-1789833000,5,34.96428571428567,1,300.75
btc-updown-5m-1789773000,4,33.84960577721466,1,669.7872096286911
btc-updown-5m-1789825800,6,33.381007142857136,1,740.4804214285714
btc-updown-5m-1789822800,3,32.87795,1,172.59205
btc-updown-5m-1789820100,6,30.32142857142852,1,376.82142857142856
btc-updown-5m-1789782000,5,28.9063,1,496.9137
btc-updown-5m-1789775700,10,28.2883222222222,2,661.0827888888889
btc-updown-5m-1789790400,3,26.185,1,370.14833333333337
btc-updown-5m-1789772400,5,25.27493571428567,1,289.72935
btc-updown-5m-1789809600,6,24.854699999999966,1,678.2253000000001
btc-updown-5m-1789766400,3,23.793499999999995,1,112.7465
btc-updown-5m-1789778400,4,20.92824999999999,1,180.52175
btc-updown-5m-1789813200,10,14.302576739926677,1,637.4914525641026
btc-updown-5m-1789803600,4,10.625071428571424,1,252.4520714285714
btc-updown-5m-1789781700,2,7.794750000000018,1,152.55524999999997
btc-updown-5m-1789801200,7,6.433157692307679,1,285.0829961538462
btc-updown-5m-1789827600,6,5.757857142857169,1,600.1364285714285
btc-updown-5m-1789776900,9,5.583526923076903,1,637.5659602564103
btc-updown-5m-1789779300,9,5.329466032331595,1,797.4714330609653
btc-updown-5m-1789776300,4,2.872092857142867,1,274.01505
btc-updown-5m-1789800900,1,-0.03329999999999966,0,6.6933
btc-updown-5m-1789800300,1,-0.09795000000000087,0,6.627950000000001
btc-updown-5m-1789818300,1,-0.3571428571428612,0,71.78571428571428
btc-updown-5m-1789827900,11,-0.5071428571428918,1,776.0749084249085
btc-updown-5m-1789828200,4,-0.5127272727272798,1,257.4218181818182
btc-updown-5m-1789807500,4,-0.7045499999999945,1,197.67454999999998
btc-updown-5m-1789832400,4,-1.0739499999999822,1,818.16395
btc-updown-5m-1789804500,5,-2.0607142857143343,1,292.775
btc-updown-5m-1789836000,8,-6.1598901098901635,0,515.7203296703296
btc-updown-5m-1789803000,3,-6.216115872760668,1,856.0994809623332
btc-updown-5m-1789765200,6,-7.292817679557995,0,493.4806629834255
btc-updown-5m-1789827300,10,-8.134977777777799,1,533.7260888888889
btc-updown-5m-1789795500,5,-8.959048701298718,0,355.14671103896103
btc-updown-5m-1789830600,4,-9.513242857142876,1,285.59038571428573
btc-updown-5m-1789768500,4,-9.686961455376718,0,655.4843918138248
btc-updown-5m-1789821600,10,-9.709946620046619,1,661.1354477855479
btc-updown-5m-1789830000,5,-11.696428571428555,0,708.1249999999999
btc-updown-5m-1789822200,10,-11.824195430464368,1,822.4016685725321
btc-updown-5m-1789806900,3,-12.403776657319469,0,839.3222204786182
btc-updown-5m-1789814700,8,-12.715025995755958,0,860.3834257128206
btc-updown-5m-1789802100,2,-12.887547147865348,0,872.0573570055609
btc-updown-5m-1789808700,7,-12.916653056256578,0,874.026856806695
btc-updown-5m-1789820700,10,-12.971235474709138,1,851.6684685003677
btc-updown-5m-1789811100,8,-13.04842023831133,0,885.1114294400996
btc-updown-5m-1789799700,6,-13.456185049201508,0,873.6151883293066
btc-updown-5m-1789778100,3,-13.949561103798203,0,789.1493385890584
btc-updown-5m-1789782300,8,-14.208499662927974,0,836.4170486200314
btc-updown-5m-1789815600,6,-14.261847626677522,0,853.9405782940697
btc-updown-5m-1789792800,4,-14.270532636752577,0,868.3770599872685
btc-updown-5m-1789804200,10,-14.61279104871729,0,861.5261336904745
btc-updown-5m-1789797600,8,-14.741666666666681,0,854.1861111111111
btc-updown-5m-1789823700,6,-14.983559914231172,0,847.2399962461606
btc-updown-5m-1789793400,5,-14.993823030683757,0,851.5187442580346
btc-updown-5m-1789797000,4,-15.200382455227253,0,861.8925461370442
btc-updown-5m-1789789500,4,-15.398778070548289,0,875.3173161070968
btc-updown-5m-1789826700,7,-16.189558506866682,0,1018.8267922979795
btc-updown-5m-1789783800,9,-16.472690564105598,0,821.4602666326823
btc-updown-5m-1789790700,7,-18.020517728698987,0,889.2012268766593
btc-updown-5m-1789812600,8,-18.21032222222224,0,866.9636555555555
btc-updown-5m-1789805100,8,-19.166349150654227,0,842.6483151768244
btc-updown-5m-1789776600,5,-20.233421373551707,0,734.3321810775233
btc-updown-5m-1789819500,9,-20.95521631109965,0,839.6666067480475
btc-updown-5m-1789806000,7,-21.157067181006994,0,862.2968972784288
