market_slug,trades,pnl,wins,total_cost
btc-updown-5m-1789765500,4,125.98075,1,454.78925000000004
btc-updown-5m-1789794900,4,81.98415,1,164.40585
btc-updown-5m-1789789200,2,68.6145,1,142.68550000000002
btc-updown-5m-1789777200,4,67.47059999999999,1,521.4694
btc-updown-5m-1789825500,4,61.23735000000002,2,319.15265
btc-updown-5m-1789833000,5,52.88475893713136,1,387.4160831493482
btc-updown-5m-1789835100,4,37.68945,1,227.88055
btc-updown-5m-1789822800,3,32.87795,1,172.59205
btc-updown-5m-1789766400,3,23.793499999999995,1,112.7465
btc-updown-5m-1789778400,4,20.92824999999999,1,180.52175
btc-updown-5m-1789803600,4,9.78175000000001,1,287.02825
btc-updown-5m-1789781700,2,7.794750000000018,1,152.55524999999997
btc-updown-5m-1789800900,1,-0.03329999999999966,0,6.6933
btc-updown-5m-1789800300,1,-0.09795000000000087,0,6.627950000000001
btc-updown-5m-1789776300,4,-0.33554999999994806,1,491.06555
btc-updown-5m-1789818300,1,-0.4749999999999943,0,95.475
btc-updown-5m-1789807500,4,-0.7045499999999945,1,197.67454999999998
btc-updown-5m-1789778100,3,-1.8862637149958292,1,612.0346328856059
btc-updown-5m-1789776900,3,-4.701873207251879,0,555.0765146576297
btc-updown-5m-1789832400,4,-5.396544905758826,1,425.91406681092724
btc-updown-5m-1789790700,6,-5.49327764952109,1,644.1922631700736
btc-updown-5m-1789832100,4,-6.037298037986011,1,388.9076477081151
btc-updown-5m-1789822200,5,-6.172403218230496,1,450.572617766931
btc-updown-5m-1789836000,4,-6.35349813825362,0,507.0131257889649
btc-updown-5m-1789820700,3,-6.354274483991411,0,464.3691712822762
btc-updown-5m-1789827600,5,-6.383379667168503,0,485.0264265392227
btc-updown-5m-1789813200,3,-6.423757945037957,0,500.41534695262993
btc-updown-5m-1789804500,4,-6.448414219670406,1,589.6760288643633
btc-updown-5m-1789808400,4,-6.742721794343852,0,512.2575080839347
btc-updown-5m-1789827300,8,-6.779599999999995,1,449.4196
btc-updown-5m-1789831800,7,-6.874982390338502,0,418.5404750795706
btc-updown-5m-1789820100,4,-6.931500000000014,0,469.0315
btc-updown-5m-1789765200,3,-7.2368718232044245,0,489.6949933701658
btc-updown-5m-1789821600,5,-7.387153419369927,0,410.61738137736415
btc-updown-5m-1789808700,2,-7.456402193365113,0,504.5498817510372
btc-updown-5m-1789814700,3,-7.5449999999999875,0,510.54499999999996
btc-updown-5m-1789826400,1,-7.555538000047477,0,511.2580713365467
btc-updown-5m-1789809600,5,-7.844121337965376,0,544.3655438689891
btc-updown-5m-1789811100,5,-7.925454750546106,0,536.6261150563281
btc-updown-5m-1789825800,5,-8.313058940442378,0,513.9614004427048
btc-updown-5m-1789806000,5,-8.343711923063749,0,572.5911734606489
btc-updown-5m-1789806900,2,-8.376864049187077,0,566.8344673283285
btc-updown-5m-1789801200,7,-8.573745403663251,1,586.079631169306
btc-updown-5m-1789828200,3,-8.637252407863834,0,453.1207462654521
btc-updown-5m-1789772400,4,-8.804847869761364,0,595.794705853853
btc-updown-5m-1789775700,1,-8.861625362658856,0,599.6366495399125
btc-updown-5m-1789779300,2,-8.918682940795605,0,603.4975456605046
btc-updown-5m-1789783800,7,-8.933942672850243,0,607.8324985059375
btc-updown-5m-1789773000,2,-8.955397067458932,0,605.9818682313876
btc-updown-5m-1789768500,4,-9.109638945983619,0,616.4189020115593
btc-updown-5m-1789803000,2,-9.113158359399563,0,616.6570489860385
btc-updown-5m-1789823700,5,-9.191297105558231,0,474.1897736475729
btc-updown-5m-1789802100,3,-9.235655734480694,0,624.9460380331972
btc-updown-5m-1789792800,3,-9.286318810813968,0,635.9116282119279
btc-updown-5m-1789815600,5,-9.328721462984344,0,501.9108788732169
btc-updown-5m-1789824600,6,-9.504720668987098,1,460.6672875114378
btc-updown-5m-1789790400,1,-9.537841330385731,0,645.3939300227694
btc-updown-5m-1789826700,4,-9.661646078183656,0,497.98325972135166
btc-updown-5m-1789830000,2,-9.841703880505207,0,454.1286292475206
btc-updown-5m-1789797600,5,-9.91157915941722,0,670.6835231205632
btc-updown-5m-1789804200,3,-10.324600000000032,0,613.4246
btc-updown-5m-1789827900,2,-10.529460044723791,0,474.3982249310708
btc-updown-5m-1789830600,4,-11.462850000000008,1,342.09285
btc-updown-5m-1789812600,3,-11.58266883282801,0,525.5740167857517
btc-updown-5m-1789805100,2,-11.860684736809162,0,598.1996671907511
btc-updown-5m-1789805400,4,-12.219212704608701,0,588.7381549166162
btc-updown-5m-1789795500,5,-12.628800000000004,0,472.54879999999997
btc-updown-5m-1789797900,5,-12.820614709192197,1,650.8282619886667
btc-updown-5m-1789782300,4,-12.846375105831495,0,619.2591937389271
btc-updown-5m-1789782000,4,-13.010447123603612,0,631.4283320677482
btc-updown-5m-1789789500,3,-13.551108217029238,0,667.0449893523141
btc-updown-5m-1789768200,3,-13.936846687859212,0,632.4747142022266
btc-updown-5m-1789797000,2,-14.272148347106196,0,681.230082231355
btc-updown-5m-1789793400,3,-14.407112034520834,0,623.3679143359118
btc-updown-5m-1789799700,2,-14.690600348619498,0,648.2639569232548
btc-updown-5m-1789819500,6,-23.861348357300297,0,492.23354545388077
btc-updown-5m-1789776600,5,-36.25031455948907,0,586.8372672618618
