market_slug,trades,pnl,wins,total_cost
btc-updown-5m-1789765500,4,125.98075,1,454.78925000000004
btc-updown-5m-1789794900,4,76.45629285714284,1,159.79084999999998
btc-updown-5m-1789833000,5,72.84609285714285,1,404.08105
btc-updown-5m-1789789200,2,68.6145,1,142.68550000000002
btc-updown-5m-1789777200,4,67.47059999999999,1,521.4694
btc-updown-5m-1789825500,4,61.23735000000002,2,319.15265
btc-updown-5m-1789772400,5,50.98922142857134,1,549.72935
btc-updown-5m-1789832100,5,42.15068864709915,1,557.0720456516674
btc-updown-5m-1789835100,4,37.68945,1,227.88055
btc-updown-5m-1789822800,3,32.87795,1,172.59205
btc-updown-5m-1789826400,2,31.134367699124113,1,611.3562821490075
btc-updown-5m-1789766400,3,23.793499999999995,1,112.7465
btc-updown-5m-1789782000,5,22.929220989859544,1,700.7895338270428
btc-updown-5m-1789790400,3,21.185,1,708.4816666666668
btc-updown-5m-1789778400,4,20.92824999999999,1,180.52175
btc-updown-5m-1789803600,4,9.78175000000001,1,287.02825
btc-updown-5m-1789809600,6,8.609361956091213,1,647.382701684753
btc-updown-5m-1789781700,2,7.794750000000018,1,152.55524999999997
btc-updown-5m-1789801200,7,4.125465384615358,1,441.2368423076923
btc-updown-5m-1789776300,4,0.7292357142857284,1,419.01505
btc-updown-5m-1789800900,1,-0.03329999999999966,0,6.6933
btc-updown-5m-1789800300,1,-0.09795000000000087,0,6.627950000000001
btc-updown-5m-1789778100,4,-0.3724607830609674,1,682.2216678579742
btc-updown-5m-1789818300,1,-0.4749999999999943,0,95.475
btc-updown-5m-1789807500,4,-0.7045499999999945,1,197.67454999999998
btc-updown-5m-1789828200,4,-4.252304545454554,1,449.86048636363637
btc-updown-5m-1789773000,4,-4.570053663715379,1,661.6291650226406
btc-updown-5m-1789790700,8,-5.322738315014831,1,769.7078121935768
btc-updown-5m-1789804500,5,-6.213421428571502,1,573.77485
btc-updown-5m-1789827600,4,-6.886652592223328,0,619.9571710368936
btc-updown-5m-1789822200,8,-7.040145499126416,1,554.2365121075537
btc-updown-5m-1789765200,4,-7.141233149171281,0,483.2234430939227
btc-updown-5m-1789813200,5,-7.600714285714327,0,622.9816666666667
btc-updown-5m-1789820700,7,-7.725467100074164,1,579.3517012922396
btc-updown-5m-1789776900,6,-8.585637895605473,0,623.5804870531576
btc-updown-5m-1789820100,5,-8.65545561129531,0,585.6858296976466
btc-updown-5m-1789808400,5,-8.836717099305044,0,653.951190386307
btc-updown-5m-1789836000,7,-8.8504732971126,0,701.4461290020504
btc-updown-5m-1789832400,2,-8.998109960558224,0,608.8721073311087
btc-updown-5m-1789768500,4,-9.10951207337152,0,616.4103169648072
btc-updown-5m-1789814700,4,-9.17070670296961,0,620.5511535676111
btc-updown-5m-1789803000,3,-9.263379545154095,1,737.2561977389901
btc-updown-5m-1789831800,9,-9.270827385392458,0,559.0959228010898
btc-updown-5m-1789821600,7,-9.49942326169032,0,553.5476407077105
btc-updown-5m-1789808700,3,-9.706275648514037,0,656.7913188827832
btc-updown-5m-1789811100,3,-9.793963103563385,0,662.7248366744545
btc-updown-5m-1789806900,3,-9.894547152422895,0,669.5310239806153
btc-updown-5m-1789827300,10,-9.957200000000007,1,608.4372000000001
btc-updown-5m-1789779300,4,-10.436441016309544,0,706.1991754369462
btc-updown-5m-1789827900,5,-10.649695097033458,0,604.5731777564044
btc-updown-5m-1789825800,3,-10.985823364302234,0,622.4667579363935
btc-updown-5m-1789802100,2,-11.10583073533337,0,751.4945464242245
btc-updown-5m-1789830000,3,-11.208066389064356,0,591.7458256600224
btc-updown-5m-1789792800,3,-11.246912345990598,0,761.0849049630592
btc-updown-5m-1789775700,6,-11.348886238084736,1,659.8520837603911
btc-updown-5m-1789830600,4,-11.462850000000008,1,342.09285
btc-updown-5m-1789797600,5,-11.613305610739136,0,785.8336796600126
btc-updown-5m-1789815600,5,-11.629435544819533,0,620.2584718661225
btc-updown-5m-1789806000,5,-11.970472622206357,0,683.4925475423885
btc-updown-5m-1789823700,4,-12.252152744489164,0,585.1285043375916
btc-updown-5m-1789826700,4,-12.560902105402604,0,639.9543757989093
btc-updown-5m-1789795500,5,-12.628800000000004,0,472.54879999999997
btc-updown-5m-1789805100,5,-12.935224791277884,0,714.7954147748898
btc-updown-5m-1789804200,7,-13.035224644052937,0,732.9442104061711
btc-updown-5m-1789797900,6,-13.324201463606242,1,771.6842990373559
btc-updown-5m-1789812600,3,-13.776597586608773,0,653.729389939847
btc-updown-5m-1789824600,4,-13.852140592535424,0,569.2937642939534
btc-updown-5m-1789768200,3,-14.04073208167905,0,636.7340153488435
btc-updown-5m-1789793400,4,-14.323230443940638,0,746.9830378177628
btc-updown-5m-1789799700,4,-14.387332066280365,0,761.853745322355
btc-updown-5m-1789805400,7,-14.744638668081187,0,697.0021853913285
btc-updown-5m-1789789500,3,-15.014259339921708,0,766.051548668043
btc-updown-5m-1789782300,6,-15.080440020641937,0,725.2331368224346
btc-updown-5m-1789783800,6,-16.61293461538463,0,712.0952423076924
btc-updown-5m-1789797000,3,-16.701886534017383,0,796.8276554685096
btc-updown-5m-1789819500,7,-22.9108071823864,0,608.3585587354188
btc-updown-5m-1789776600,5,-25.05776660749293,0,649.5659743837076
