leg1_budget,initial_capital,final_capital,profit,return_pct,completed_pairs,wins,losses,win_rate_pct,max_drawdown,max_drawdown_pct,skipped_no_cash,hedge_reduced,hedge_failed,markets_traded,profitable_markets,losing_markets,best_market_pnl,worst_market_pnl
10.0,500.0,1162.5082159457395,662.5082159457395,132.5016431891479,444,48,396,10.81081081081081,75.70204755046564,6.477634424881116,0,155,65,77,34,43,86.83999999999997,-21.157067181006994
20.0,500.0,702.3985869831695,202.39858698316948,40.479717396633895,342,34,308,9.941520467836257,265.78024654710305,32.46733721071173,0,195,167,77,20,57,125.98075,-25.05776660749293
50.0,500.0,506.76447605611884,6.764476056118838,1.3528952112237675,283,26,257,9.187279151943462,282.96944961874397,40.39522842428904,0,194,226,77,12,65,125.98075,-36.25031455948907
