id,market_slug,anchor_ts_ms,market_end_ms,q1,leg1_cost,cash_before_leg1,hedge_ts_ms,paired_qty,unhedged_qty,exit_qty,zero_value_qty,exit_proceeds,leg2_with_friction,total_cost,pair_net_edge,status,invalid_future_quote,cash_limited,depth_limited,cash_at_hedge_before_exit,pnl
11416,btc-updown-5m-1789765200,1789765359942,1789765500000,90.9090909090909,10.0,500.0,1789765374995,90.9090909090909,0.0,0.0,0.0,0.0,82.27272727272727,92.27272727272727,-0.01500000000000001,complete,False,False,False,490.0,-1.3636363636363598
11470,btc-updown-5m-1789765200,1789765375566,1789765500000,90.9090909090909,10.0,407.72727272727275,1789765390643,90.9090909090909,0.0,0.0,0.0,0.0,82.27272727272727,92.27272727272727,-0.01500000000000001,complete,False,False,False,397.72727272727275,-1.3636363636363598
11524,btc-updown-5m-1789765200,1789765390643,1789765500000,90.9090909090909,10.0,315.4545454545455,1789765405676,90.9090909090909,0.0,0.0,0.0,0.0,82.27272727272727,92.27272727272727,-0.01500000000000001,complete,False,False,False,305.4545454545455,-1.3636363636363598
11580,btc-updown-5m-1789765200,1789765405676,1789765500000,90.9090909090909,10.0,223.18181818181824,1789765420753,90.9090909090909,0.0,0.0,0.0,0.0,82.27272727272727,92.27272727272727,-0.01500000000000001,complete,False,False,False,213.18181818181824,-1.3636363636363598
11636,btc-updown-5m-1789765200,1789765420928,1789765500000,90.9090909090909,10.0,130.909090909091,1789765436050,90.9090909090909,0.0,0.0,0.0,0.0,82.27272727272727,92.27272727272727,-0.01500000000000001,complete,False,False,False,120.90909090909099,-1.3636363636363598
11696,btc-updown-5m-1789765200,1789765436494,1789765500000,90.9090909090909,10.0,38.636363636363726,1789765451590,31.642390758412954,59.26670015067795,0.0,59.26670015067795,0.0,28.636363636363726,38.636363636363726,-0.01500000000000001,reduced,False,True,False,28.636363636363726,-6.993972877950771
12836,btc-updown-5m-1789765500,1789765741765,1789765800000,7.0,0.49000000000000005,486.18784530386745,1789765756815,7.0,0.0,0.0,0.0,0.0,6.545,7.035,-0.005000000000000111,complete,False,False,False,485.69784530386744,-0.03500000000000014
12898,btc-updown-5m-1789765500,1789765757479,1789765800000,125.0,10.0,479.1528453038674,1789765772552,125.0,0.0,0.0,0.0,0.0,118.125,128.125,-0.024999999999999908,complete,False,False,False,469.1528453038674,-3.125
12958,btc-updown-5m-1789765500,1789765773058,1789765800000,142.85714285714283,10.0,351.0278453038674,1789765788065,142.85714285714283,0.0,0.0,0.0,0.0,134.99999999999997,144.99999999999997,-0.01500000000000001,complete,False,False,False,341.0278453038674,-2.142857142857139
13014,btc-updown-5m-1789765500,1789765788917,1789765800000,142.85714285714283,10.0,206.02784530386745,1789765800000,0.0,142.85714285714283,0.0,142.85714285714283,0.0,0.0,10.0,,impossible,True,False,True,470.8849881610103,-10.0
