id,anchor_ts_ms,market_slug,condition_id,market_duration,direction,market_start_ms,market_end_ms
59184,1789778700135,btc-updown-5m-1789778400,0xd8c98df3457aae6c0ea2f2a47875d38bd57b04a77eb3c2d5f09049680df64efb,5m,DOWN->UP,1789778400000,1789778700000
62032,1789779600155,btc-updown-5m-1789779300,0xdc3cd980b112772a7b1770db9b1a9c5beb168f433987480f2ee451fd8ccc714a,5m,DOWN->UP,1789779300000,1789779600000
70214,1789782000033,btc-updown-5m-1789781700,0xb345645d83131978b96e180f0d9b47eaaa87ff574f63514c95bcd34461b04d08,5m,DOWN->UP,1789781700000,1789782000000
