id,market_slug,anchor_ts_ms,market_end_ms,q1,leg1_cost,cash_before_leg1,hedge_ts_ms,paired_qty,unhedged_qty,exit_qty,zero_value_qty,exit_proceeds,leg2_with_friction,total_cost,pair_net_edge,status,invalid_future_quote,cash_limited,depth_limited,cash_at_hedge_before_exit,pnl
11416,btc-updown-5m-1789765200,1789765359942,1789765500000,90.9090909090909,10.0,500.0,1789765374995,90.9090909090909,0.0,0.0,0.0,0.0,82.27272727272727,92.27272727272727,-0.01500000000000001,complete,False,False,False,490.0,-1.3636363636363598
11470,btc-updown-5m-1789765200,1789765375566,1789765500000,90.9090909090909,10.0,407.72727272727275,1789765390643,90.9090909090909,0.0,0.0,0.0,0.0,82.27272727272727,92.27272727272727,-0.01500000000000001,complete,False,False,False,397.72727272727275,-1.3636363636363598
11524,btc-updown-5m-1789765200,1789765390643,1789765500000,90.9090909090909,10.0,315.4545454545455,1789765405676,90.9090909090909,0.0,0.0,0.0,0.0,82.27272727272727,92.27272727272727,-0.01500000000000001,complete,False,False,False,305.4545454545455,-1.3636363636363598
11580,btc-updown-5m-1789765200,1789765405676,1789765500000,90.9090909090909,10.0,223.18181818181824,1789765420753,90.9090909090909,0.0,0.0,0.0,0.0,82.27272727272727,92.27272727272727,-0.01500000000000001,complete,False,False,False,213.18181818181824,-1.3636363636363598
11636,btc-updown-5m-1789765200,1789765420928,1789765500000,90.9090909090909,10.0,130.909090909091,1789765436050,90.9090909090909,0.0,0.0,0.0,0.0,82.27272727272727,92.27272727272727,-0.01500000000000001,complete,False,False,False,120.90909090909099,-1.3636363636363598
11696,btc-updown-5m-1789765200,1789765436494,1789765500000,90.9090909090909,10.0,38.636363636363726,1789765451590,31.642390758412954,59.26670015067795,59.26670015067795,0.0,5.926670015067796,28.636363636363726,38.636363636363726,-0.01500000000000001,reduced,False,True,False,28.636363636363726,-1.0673028628829755
11756,btc-updown-5m-1789765200,1789765452147,1789765500000,53.87881831879814,5.926670015067796,5.926670015067796,1789765467183,0.0,53.87881831879814,53.87881831879814,0.0,5.387881831879814,0.0,5.926670015067796,-0.01500000000000001,impossible,False,True,False,0.0,-0.5387881831879815
11814,btc-updown-5m-1789765200,1789765467922,1789765500000,48.980743926180125,5.387881831879814,5.387881831879814,1789765482978,0.0,48.980743926180125,48.980743926180125,0.0,4.898074392618013,0.0,5.387881831879814,-0.02500000000000002,impossible,False,True,False,0.0,-0.48980743926180104
11874,btc-updown-5m-1789765200,1789765483599,1789765500000,48.980743926180125,4.898074392618013,4.898074392618013,1789765498664,0.0,48.980743926180125,48.980743926180125,0.0,4.408266953356211,0.0,4.898074392618013,-0.01500000000000001,impossible,False,True,False,0.0,-0.4898074392618019
11930,btc-updown-5m-1789765200,1789765498797,1789765500000,44.08266953356211,4.408266953356211,4.408266953356211,1789765500000,0.0,44.08266953356211,44.08266953356211,0.0,3.9674402580205896,0.0,4.408266953356211,,impossible,True,False,True,486.18784530386745,-0.44082669533562147
