ts_ms,event,cash,equity_lower_bound
1789765359942,2,490.0,490.0
1789765374995,1,407.72727272727275,498.6363636363636
1789765375566,2,397.72727272727275,488.6363636363636
1789765390643,1,315.4545454545455,497.2727272727273
1789765390643,2,305.4545454545455,487.2727272727273
1789765405676,1,223.18181818181824,495.909090909091
1789765405676,2,213.18181818181824,485.909090909091
1789765420753,1,130.909090909091,494.5454545454546
1789765420928,2,120.90909090909099,484.5454545454546
1789765436050,1,38.636363636363726,493.18181818181824
1789765436494,2,28.636363636363726,483.18181818181824
1789765451590,1,0.0,486.1878453038675
1789765500000,0,90.9090909090909,486.18784530386745
1789765500000,0,181.8181818181818,486.1878453038675
1789765500000,0,272.72727272727275,486.1878453038675
1789765500000,0,363.6363636363636,486.1878453038675
1789765500000,0,454.5454545454545,486.18784530386745
1789765500000,0,486.18784530386745,486.18784530386745
1789765741765,2,485.69784530386744,485.69784530386744
1789765756815,1,479.1528453038674,486.1528453038674
1789765757479,2,469.1528453038674,476.1528453038674
1789765772552,1,351.0278453038674,483.0278453038674
1789765773058,2,341.0278453038674,473.0278453038674
1789765788065,1,206.02784530386745,480.88498816101026
1789765788917,2,196.02784530386745,470.88498816101026
1789765800000,0,203.02784530386745,470.88498816101026
1789765800000,0,328.0278453038675,470.8849881610103
1789765800000,0,470.8849881610103,470.8849881610103
1789765800000,1,470.8849881610103,470.8849881610103
1789765800000,0,470.8849881610103,470.8849881610103
1789766650992,2,468.20258816101034,468.20258816101034
1789766666015,1,450.4795881610103,469.63958816101035
1789766666619,2,445.4795881610103,464.63958816101035
1789766681643,1,398.2295881610103,467.38958816101035
1789766682038,2,392.16538816101036,461.3253881610103
1789766700000,0,411.3253881610104,461.3253881610104
1789766700000,0,461.3253881610104,461.3253881610104
1789766700000,1,461.3253881610104,461.3253881610104
1789766700000,0,461.3253881610104,461.3253881610104
1789768449781,2,451.3253881610104,451.3253881610104
1789768464781,1,317.04033816101037,453.3703381610104
1789768465395,2,307.04033816101037,443.3703381610104
1789768480396,1,290.95528816101034,443.61528816101037
1789768481257,2,280.95528816101034,433.61528816101037
1789768496281,1,0.0,435.0271237799099
1789768500000,0,136.33,435.02712377990986
1789768500000,0,152.66000000000003,435.0271237799099
1789768500000,0,435.0271237799099,435.0271237799099
1789768731390,2,429.6275237799099,429.6275237799099
1789768746406,1,298.0122737799099,433.0022737799099
1789768747005,2,291.3230737799099,426.3130737799099
1789768762014,1,128.27382377990995,430.49382377991
1789768762883,2,121.98822377990994,424.20822377991
1789768777900,1,0.0,427.3361269537538
1789768800000,0,134.99,427.3361269537538
1789768800000,0,302.22,427.3361269537538
1789768800000,0,427.3361269537538,427.3361269537538
1789772608976,2,417.3361269537538,417.3361269537538
1789772624027,1,354.8361269537538,426.26469838232526
1789772624721,2,344.8361269537538,416.26469838232526
1789772639744,1,282.3361269537538,425.19326981089665
1789772640395,2,272.3361269537538,415.19326981089665
1789772655411,1,209.83612695375382,424.12184123946804
1789772656040,2,199.83612695375382,414.12184123946804
1789772671370,1,174.20737695375382,417.78309123946804
1789772675638,2,164.20737695375382,407.78309123946804
1789772700000,0,235.63594838232524,407.78309123946804
1789772700000,0,307.0645198108966,407.78309123946804
1789772700000,0,378.4930912394681,407.7830912394681
1789772700000,0,407.7830912394681,407.7830912394681
1789772700000,1,407.7830912394681,407.7830912394681
1789772700000,0,407.7830912394681,407.7830912394681
1789773246231,2,397.7830912394681,397.7830912394681
1789773261256,1,204.7830912394681,404.7830912394681
1789773261808,2,195.2940912394681,395.2940912394681
1789773276845,1,12.156391239468093,401.9363912394681
1789773277565,2,2.1563912394680926,391.9363912394681
1789773292573,1,0.0,392.01460232069235
1789773300000,0,200.0,392.01460232069235
1789773300000,0,389.78,392.0146023206923
1789773300000,0,392.0146023206923,392.0146023206923
1789775849650,2,382.0146023206923,382.0146023206923
1789775864787,1,265.1396023206923,390.1396023206923
1789775865448,2,255.1396023206923,380.1396023206923
1789775880490,1,227.3896023206923,382.3896023206923
1789775880571,2,217.3896023206923,372.3896023206923
1789775895623,1,113.50071343180339,379.61182454291446
1789775895623,2,103.50071343180339,369.61182454291446
