label,class,feature,signals,markets,missing,q25,median,q75
status,complete,opposite_depth_coverage_t0,64,36,0,1.1565225000000001,2.313635,5.790989209015483
status,complete,pair_cash_required_t0,64,36,0,72.49999999999999,92.27272727272727,126.87499999999999
status,complete,exit_coverage_t0,64,36,0,1.1565225000000001,2.313635,5.790989209015483
status,reduced,first_ask,59,38,0,0.045,0.07,0.11
status,reduced,first_bid,59,38,0,0.035,0.06,0.1
status,reduced,first_ask_qty,59,38,0,180.5,355.85,607.185
status,reduced,first_bid_qty,59,38,0,63.56,185.0,527.79
status,reduced,first_spread,59,38,0,0.009999999999999997,0.010000000000000002,0.010000000000000009
status,reduced,opposite_ask,59,38,0,0.9,0.94,0.965
status,reduced,opposite_bid,59,38,0,0.89,0.93,0.955
status,reduced,opposite_ask_qty,59,38,0,63.56,185.0,527.79
status,reduced,opposite_bid_qty,59,38,0,180.5,355.85,607.185
status,reduced,opposite_spread,59,38,0,0.010000000000000009,0.010000000000000009,0.010000000000000009
status,reduced,depth_imbalance,59,38,0,-0.3483718281358156,0.21022254182120953,0.6409049419335103
status,reduced,btc_return_1s,59,38,0,-1.231755169528448e-07,0.0,1.2310977426377434e-07
status,reduced,btc_return_5s,59,38,0,-1.231941129109515e-07,0.0,7.433751704866154e-06
status,reduced,btc_return_15s,59,38,0,-1.2336290500236657e-07,0.0,9.867299548771413e-05
status,reduced,time_remaining_ms,59,38,0,44522.5,67660.0,121786.0
status,reduced,opposite_depth_coverage_t0,59,38,0,0.6144700000000001,1.48,4.15313
status,reduced,pair_cash_required_t0,59,38,0,78.07692307692307,126.87499999999999,202.99999999999997
status,reduced,exit_coverage_t0,59,38,0,0.6144700000000001,1.48,4.15313
status,impossible,first_ask,152,41,0,0.04,0.06,0.09
status,impossible,first_bid,152,41,0,0.03,0.05,0.08
status,impossible,first_ask_qty,152,41,0,238.64249999999998,374.245,619.3975
status,impossible,first_bid_qty,152,41,0,127.1075,259.64,495.9625
status,impossible,first_spread,152,41,0,0.009999999999999995,0.01,0.010000000000000004
status,impossible,opposite_ask,152,41,0,0.92,0.95,0.97
status,impossible,opposite_bid,152,41,0,0.91,0.94,0.96
status,impossible,opposite_ask_qty,152,41,0,127.1075,259.64,495.9625
status,impossible,opposite_bid_qty,152,41,0,238.64249999999998,374.245,619.3975
status,impossible,opposite_spread,152,41,0,0.010000000000000009,0.010000000000000009,0.010000000000000009
status,impossible,depth_imbalance,152,41,0,-0.35109685466763163,0.20464733443806177,0.5821056912168208
status,impossible,btc_return_1s,152,41,0,0.0,0.0,1.2305080365759835e-07
status,impossible,btc_return_5s,152,41,0,-1.231076667274067e-07,0.0,5.861466180201447e-07
status,impossible,btc_return_15s,152,41,0,-1.2336874918861263e-07,0.0,7.712964832623515e-05
status,impossible,time_remaining_ms,152,41,0,17773.75,44080.5,78695.0
status,impossible,opposite_depth_coverage_t0,152,41,0,0.84952,1.768665,3.7743079872543817
status,impossible,pair_cash_required_t0,152,41,0,101.49999999999999,144.99999999999997,242.00391249999996
status,impossible,exit_coverage_t0,152,41,0,0.84952,1.768665,3.7743079872543817
