market_slug,trades,pnl,wins
btc-updown-5m-1789815600,9,198.18944999999997,1
btc-updown-5m-1789783800,11,156.73433205128208,1
btc-updown-5m-1789768200,4,148.41678333333334,1
btc-updown-5m-1789765500,4,125.98074999999999,1
btc-updown-5m-1789797600,10,107.28989285714282,1
btc-updown-5m-1789823700,10,102.49944999999997,1
btc-updown-5m-1789826700,10,101.08694999999997,1
btc-updown-5m-1789832100,5,98.96552619047623,1
btc-updown-5m-1789808400,6,85.88945,1
btc-updown-5m-1789797900,10,77.99042878787878,2
btc-updown-5m-1789805400,10,77.94316688311687,1
btc-updown-5m-1789794900,4,76.45629285714284,1
btc-updown-5m-1789833000,5,72.84609285714285,1
btc-updown-5m-1789789200,2,68.6145,1
btc-updown-5m-1789777200,4,67.4706,1
btc-updown-5m-1789831800,10,67.30564999999999,1
btc-updown-5m-1789768500,5,64.25849999999998,1
btc-updown-5m-1789824600,6,63.28714999999997,1
btc-updown-5m-1789820100,6,61.74977142857142,1
btc-updown-5m-1789825500,4,61.23734999999999,2
btc-updown-5m-1789773000,4,56.55704999999999,1
btc-updown-5m-1789826400,2,51.512199999999986,1
btc-updown-5m-1789772400,5,50.9892214285714,1
btc-updown-5m-1789803000,4,48.07675,2
btc-updown-5m-1789811100,10,46.37069999999996,1
btc-updown-5m-1789775700,10,42.329750000000004,2
btc-updown-5m-1789799700,10,38.87724999999999,1
btc-updown-5m-1789835100,4,37.68944999999999,1
btc-updown-5m-1789812600,10,36.67700555555552,1
btc-updown-5m-1789805100,11,34.74654444444442,1
btc-updown-5m-1789822800,3,32.87794999999999,1
btc-updown-5m-1789813200,10,31.08583681318681,1
btc-updown-5m-1789825800,6,29.82584999999999,1
btc-updown-5m-1789790700,9,26.537899999999986,1
btc-updown-5m-1789809600,6,24.85469999999999,1
btc-updown-5m-1789782000,5,23.90629999999998,1
btc-updown-5m-1789766400,3,23.793499999999998,1
btc-updown-5m-1789790400,3,21.18499999999999,1
btc-updown-5m-1789797000,5,21.093699999999973,1
btc-updown-5m-1789778400,4,20.928250000000002,1
btc-updown-5m-1789778100,4,17.678233333333306,1
btc-updown-5m-1789779300,9,17.272727272727256,1
btc-updown-5m-1789765200,10,15.135009090909083,1
btc-updown-5m-1789806900,4,14.429349999999989,1
btc-updown-5m-1789803600,4,9.781749999999995,1
btc-updown-5m-1789814700,9,8.408549999999986,1
btc-updown-5m-1789781700,2,7.794749999999999,1
btc-updown-5m-1789827600,6,4.962300000000002,1
btc-updown-5m-1789801200,7,4.12546538461538,1
btc-updown-5m-1789827900,11,2.234000549450542,1
btc-updown-5m-1789819500,11,1.468536363636332,1
btc-updown-5m-1789776300,4,0.7292357142857089,1
btc-updown-5m-1789776900,9,0.3949961538461455,1
btc-updown-5m-1789800900,1,-0.0333,0
btc-updown-5m-1789800300,1,-0.09795000000000006,0
btc-updown-5m-1789818300,1,-0.47500000000000003,0
btc-updown-5m-1789807500,4,-0.704550000000002,1
btc-updown-5m-1789832400,4,-1.073950000000007,1
btc-updown-5m-1789828200,4,-4.252304545454551,1
btc-updown-5m-1789804500,5,-6.213421428571433,1
btc-updown-5m-1789782300,14,-6.424107142857167,1
btc-updown-5m-1789792800,9,-9.093700000000034,1
btc-updown-5m-1789822200,11,-9.279516666666678,2
btc-updown-5m-1789802100,5,-9.721500000000015,1
btc-updown-5m-1789827300,10,-9.957200000000007,1
btc-updown-5m-1789836000,8,-10.396837362637367,0
btc-updown-5m-1789830600,4,-11.46284999999999,1
btc-updown-5m-1789795500,5,-12.628800000000009,0
btc-updown-5m-1789804200,11,-13.134000000000015,1
btc-updown-5m-1789821600,10,-15.07771666666668,1
btc-updown-5m-1789820700,10,-17.738207142857156,1
btc-updown-5m-1789830000,5,-20.1859642857143,0
btc-updown-5m-1789789500,4,-20.929550000000017,0
btc-updown-5m-1789793400,5,-29.218183333333354,0
btc-updown-5m-1789808700,8,-30.00000000000002,0
btc-updown-5m-1789776600,11,-52.39905000000004,2
btc-updown-5m-1789806000,10,-52.5649928571429,0
