market_slug,trades,pnl,wins
btc-updown-5m-1789815600,9,224.31539999999998,1
btc-updown-5m-1789833000,5,189.63180714285713,1
btc-updown-5m-1789797900,10,174.71399999999997,2
btc-updown-5m-1789783800,11,159.7691192307692,1
btc-updown-5m-1789768200,4,145.05095,1
btc-updown-5m-1789772400,5,132.69651428571424,1
btc-updown-5m-1789765500,4,125.98074999999999,1
btc-updown-5m-1789832100,5,123.81955000000002,1
btc-updown-5m-1789797600,10,111.59609999999998,1
btc-updown-5m-1789805400,10,107.77642857142854,1
btc-updown-5m-1789826700,10,92.50119999999997,1
btc-updown-5m-1789813200,10,87.07215274725274,1
btc-updown-5m-1789808400,6,84.71119999999999,1
btc-updown-5m-1789823700,10,83.74944999999995,1
btc-updown-5m-1789820100,6,82.05359999999999,1
btc-updown-5m-1789794900,4,81.98415,1
btc-updown-5m-1789789200,2,68.6145,1
btc-updown-5m-1789777200,4,67.4706,1
btc-updown-5m-1789831800,10,67.30564999999999,1
btc-updown-5m-1789768500,5,64.25849999999998,1
btc-updown-5m-1789825500,4,61.23734999999999,2
btc-updown-5m-1789824600,6,59.93739999999997,1
btc-updown-5m-1789773000,4,52.96184999999999,1
btc-updown-5m-1789826400,2,51.512199999999986,1
btc-updown-5m-1789803000,4,48.07675,2
btc-updown-5m-1789811100,10,46.37069999999996,1
btc-updown-5m-1789835100,4,37.68944999999999,1
btc-updown-5m-1789775700,10,36.8255,2
btc-updown-5m-1789799700,10,35.90974999999998,1
btc-updown-5m-1789822800,3,32.87794999999999,1
btc-updown-5m-1789805100,11,31.680049999999973,1
btc-updown-5m-1789825800,6,29.82584999999999,1
btc-updown-5m-1789809600,6,24.85469999999999,1
btc-updown-5m-1789766400,3,23.793499999999998,1
btc-updown-5m-1789790700,9,23.393149999999984,1
btc-updown-5m-1789782000,5,21.800049999999978,1
btc-updown-5m-1789778400,4,20.928250000000002,1
btc-updown-5m-1789779300,9,20.55434090909086,1
btc-updown-5m-1789797000,5,18.77219999999997,1
btc-updown-5m-1789827900,11,17.897028571428553,1
btc-updown-5m-1789778100,4,14.836149999999972,1
btc-updown-5m-1789806900,4,14.429349999999989,1
btc-updown-5m-1789790400,3,10.967649999999985,1
btc-updown-5m-1789812600,10,10.455172222222174,1
btc-updown-5m-1789803600,4,9.781749999999995,1
btc-updown-5m-1789814700,9,8.408549999999986,1
btc-updown-5m-1789781700,2,7.794749999999999,1
btc-updown-5m-1789765200,10,7.45121818181817,1
btc-updown-5m-1789827600,6,4.962300000000002,1
btc-updown-5m-1789801200,7,1.8217999999999943,1
btc-updown-5m-1789800900,1,-0.0333,0
btc-updown-5m-1789800300,1,-0.09795000000000006,0
btc-updown-5m-1789776300,4,-0.3355500000000067,1
btc-updown-5m-1789818300,1,-0.47500000000000003,0
btc-updown-5m-1789807500,4,-0.704550000000002,1
btc-updown-5m-1789832400,4,-1.073950000000007,1
btc-updown-5m-1789776900,9,-3.834500000000009,1
btc-updown-5m-1789828200,4,-4.631850000000006,1
btc-updown-5m-1789819500,11,-6.470350000000046,1
btc-updown-5m-1789822200,11,-9.705600000000011,2
btc-updown-5m-1789802100,5,-9.721500000000015,1
btc-updown-5m-1789827300,10,-9.957200000000007,1
btc-updown-5m-1789792800,9,-11.07675000000004,1
btc-updown-5m-1789830600,4,-11.46284999999999,1
btc-updown-5m-1789804500,5,-11.89870000000001,1
btc-updown-5m-1789795500,5,-12.628800000000009,0
btc-updown-5m-1789836000,8,-14.109600000000007,0
btc-updown-5m-1789821600,10,-15.862800000000012,1
btc-updown-5m-1789782300,14,-18.22500000000003,1
btc-updown-5m-1789789500,4,-20.929550000000017,0
btc-updown-5m-1789830000,5,-21.958450000000017,0
btc-updown-5m-1789820700,10,-25.61450000000002,1
btc-updown-5m-1789804200,11,-26.678600000000024,1
btc-updown-5m-1789793400,5,-34.06660000000002,0
btc-updown-5m-1789808700,8,-48.784050000000036,0
btc-updown-5m-1789806000,10,-61.29445000000005,0
btc-updown-5m-1789776600,11,-81.29490714285721,2
