market_slug,trades,pnl,wins
btc-updown-5m-1789768200,4,156.75011666666668,1
btc-updown-5m-1789823700,10,112.40894999999998,1
btc-updown-5m-1789826700,10,91.94294999999998,1
btc-updown-5m-1789815600,9,90.1414833333333,1
btc-updown-5m-1789765500,4,86.83999999999996,1
btc-updown-5m-1789783800,11,70.47937179487181,1
btc-updown-5m-1789789200,2,68.6145,1
btc-updown-5m-1789824600,6,68.52547142857141,1
btc-updown-5m-1789777200,4,68.20965,1
btc-updown-5m-1789768500,5,64.25849999999998,1
btc-updown-5m-1789773000,4,62.55705,1
btc-updown-5m-1789831800,10,61.50129999999999,1
btc-updown-5m-1789825500,4,59.225885714285695,2
btc-updown-5m-1789812600,10,53.348977777777755,1
btc-updown-5m-1789811100,10,52.52284999999997,1
btc-updown-5m-1789826400,2,51.902199999999986,1
btc-updown-5m-1789797600,10,50.40170476190474,1
btc-updown-5m-1789832100,5,48.37028809523811,1
btc-updown-5m-1789803000,4,48.07675,2
btc-updown-5m-1789799700,10,46.75679999999999,1
btc-updown-5m-1789808400,6,44.6921,1
btc-updown-5m-1789805100,11,44.02800555555554,1
btc-updown-5m-1789835100,4,38.56229999999999,1
btc-updown-5m-1789797900,10,38.03310606060606,2
btc-updown-5m-1789794900,4,37.527721428571425,1
btc-updown-5m-1789805400,10,36.8958196137196,1
btc-updown-5m-1789790700,9,36.63840476190475,1
btc-updown-5m-1789833000,5,34.96428571428571,1
btc-updown-5m-1789825800,6,33.381007142857136,1
btc-updown-5m-1789822800,3,32.87794999999999,1
btc-updown-5m-1789820100,6,30.321428571428566,1
btc-updown-5m-1789782000,5,28.906299999999987,1
btc-updown-5m-1789775700,10,28.28832222222222,2
btc-updown-5m-1789797000,5,28.01754999999998,1
btc-updown-5m-1789778100,4,26.993866666666648,1
btc-updown-5m-1789790400,3,26.184999999999995,1
btc-updown-5m-1789772400,5,25.2749357142857,1
btc-updown-5m-1789809600,6,24.85469999999999,1
btc-updown-5m-1789766400,3,23.793499999999998,1
btc-updown-5m-1789778400,4,20.928250000000002,1
btc-updown-5m-1789765200,10,19.18181818181818,1
btc-updown-5m-1789806900,4,14.724049999999988,1
btc-updown-5m-1789813200,10,14.302576739926737,1
btc-updown-5m-1789792800,9,12.592749999999977,1
btc-updown-5m-1789803600,4,10.625071428571424,1
btc-updown-5m-1789819500,11,10.125668181818156,1
btc-updown-5m-1789814700,9,9.163549999999987,1
btc-updown-5m-1789779300,9,8.636363636363628,1
btc-updown-5m-1789781700,2,7.794749999999999,1
btc-updown-5m-1789801200,7,6.433157692307689,1
btc-updown-5m-1789782300,14,6.31097857142856,1
btc-updown-5m-1789827600,6,5.757857142857145,1
btc-updown-5m-1789776900,9,5.583526923076917,1
btc-updown-5m-1789776300,4,2.872092857142853,1
btc-updown-5m-1789800900,1,-0.0333,0
btc-updown-5m-1789800300,1,-0.09795000000000006,0
btc-updown-5m-1789818300,1,-0.3571428571428571,0
btc-updown-5m-1789827900,11,-0.5071428571428616,1
btc-updown-5m-1789828200,4,-0.5127272727272754,1
btc-updown-5m-1789807500,4,-0.704550000000002,1
btc-updown-5m-1789832400,4,-1.073950000000007,1
btc-updown-5m-1789804500,5,-2.0607142857142877,1
btc-updown-5m-1789804200,11,-2.462663636363642,1
btc-updown-5m-1789822200,11,-6.029636363636373,2
btc-updown-5m-1789836000,8,-6.159890109890113,0
btc-updown-5m-1789827300,10,-8.134977777777785,1
btc-updown-5m-1789795500,5,-8.959048701298707,0
btc-updown-5m-1789830600,4,-9.51324285714285,1
btc-updown-5m-1789821600,10,-9.709946620046628,1
btc-updown-5m-1789802100,5,-9.721500000000015,1
btc-updown-5m-1789820700,10,-10.162142857142864,1
btc-updown-5m-1789830000,5,-11.696428571428577,0
btc-updown-5m-1789808700,8,-15.00000000000001,0
btc-updown-5m-1789789500,4,-17.303700000000013,0
btc-updown-5m-1789793400,5,-18.04561666666668,0
btc-updown-5m-1789806000,10,-31.000785714285733,0
btc-updown-5m-1789776600,11,-31.961628571428594,2
