id,anchor_ts_ms,hedge_ts_ms,market_slug,market_duration,direction,first_ask,second_ask,executable_qty,pair_cost,net_edge_005
23828,1789768762883,1789768777900,btc-updown-5m-1789768500,5m,DOWN->UP,0.04,0.97,157.14,1.01,-0.01500000000000001
23888,1789768778640,1789768793683,btc-updown-5m-1789768500,5m,DOWN->UP,0.04,0.97,219.84,1.01,-0.01500000000000001
23948,1789768794467,1789768809490,btc-updown-5m-1789768500,5m,DOWN->UP,0.04,0.49,160.1,0.53,0.46499999999999997
37314,1789772608976,1789772624027,btc-updown-5m-1789772400,5m,DOWN->UP,0.14,0.87,149.0,1.01,-0.01500000000000001
37374,1789772624721,1789772639744,btc-updown-5m-1789772400,5m,DOWN->UP,0.14,0.87,546.36,1.01,-0.01500000000000001
37432,1789772640395,1789772655411,btc-updown-5m-1789772400,5m,DOWN->UP,0.14,0.87,260.99,1.01,-0.01500000000000001
37494,1789772656040,1789772671370,btc-updown-5m-1789772400,5m,DOWN->UP,0.14,0.87,29.29,1.01,-0.01500000000000001
37584,1789772675638,1789772704942,btc-updown-5m-1789772400,5m,DOWN->UP,0.14,0.45,695.45,0.5900000000000001,0.4049999999999999
39578,1789773246231,1789773261256,btc-updown-5m-1789773000,5m,DOWN->UP,0.05,0.96,501.33,1.01,-0.01500000000000001
39638,1789773261808,1789773276845,btc-updown-5m-1789773000,5m,DOWN->UP,0.05,0.96,189.78,1.01,-0.01500000000000001
39698,1789773277565,1789773292573,btc-updown-5m-1789773000,5m,DOWN->UP,0.05,0.96,538.35,1.01,-0.01500000000000001
39758,1789773293109,1789773308110,btc-updown-5m-1789773000,5m,DOWN->UP,0.05,0.57,190.41,0.62,0.375
49064,1789775849650,1789775864787,btc-updown-5m-1789775700,5m,DOWN->UP,0.08,0.93,616.95,1.01,-0.01500000000000001
49124,1789775865448,1789775880490,btc-updown-5m-1789775700,5m,DOWN->UP,0.08,0.92,30.0,1.0,-0.005
