anchor_ts_ms,market_slug,first_ask,second_ask,qty,pair_cost,net_edge_005,pnl,equity_after
1789765359942,btc-updown-5m-1789765200,0.11,0.9,90.9090909090909,1.01,-0.01500000000000001,-1.3636363636363644,498.6363636363636
1789765375566,btc-updown-5m-1789765200,0.11,0.9,90.9090909090909,1.01,-0.01500000000000001,-1.3636363636363644,497.27272727272725
1789765390643,btc-updown-5m-1789765200,0.11,0.9,90.9090909090909,1.01,-0.01500000000000001,-1.3636363636363644,495.9090909090909
1789765405676,btc-updown-5m-1789765200,0.11,0.9,90.9090909090909,1.01,-0.01500000000000001,-1.3636363636363644,494.5454545454545
1789765420928,btc-updown-5m-1789765200,0.11,0.9,90.9090909090909,1.01,-0.01500000000000001,-1.3636363636363644,493.18181818181813
1789765436494,btc-updown-5m-1789765200,0.11,0.9,90.9090909090909,1.01,-0.01500000000000001,-1.3636363636363644,491.81818181818176
1789765452147,btc-updown-5m-1789765200,0.11,0.9,90.9090909090909,1.01,-0.01500000000000001,-1.3636363636363644,490.4545454545454
1789765467922,btc-updown-5m-1789765200,0.11,0.91,90.9090909090909,1.02,-0.02500000000000002,-2.2727272727272743,488.18181818181813
1789765483599,btc-updown-5m-1789765200,0.1,0.91,100.0,1.01,-0.01500000000000001,-1.5000000000000009,486.68181818181813
1789765498797,btc-updown-5m-1789765200,0.1,0.57,100.0,0.6699999999999999,0.32500000000000007,32.50000000000001,519.1818181818181
1789765741765,btc-updown-5m-1789765500,0.07,0.93,7.0,1.0,-0.005,-0.035,519.1468181818182
1789765757479,btc-updown-5m-1789765500,0.08,0.94,125.0,1.02,-0.02500000000000002,-3.125000000000002,516.0218181818182
1789765773058,btc-updown-5m-1789765500,0.07,0.94,142.85714285714283,1.01,-0.01500000000000001,-2.1428571428571437,513.878961038961
1789765788917,btc-updown-5m-1789765500,0.07,0.28,142.85714285714283,0.35000000000000003,0.6449999999999999,92.14285714285711,606.0218181818182
1789766650992,btc-updown-5m-1789766400,0.14,0.92,19.16,1.06,-0.06500000000000006,-1.2454000000000012,604.7764181818181
1789766666619,btc-updown-5m-1789766400,0.1,0.94,50.0,1.04,-0.04500000000000003,-2.2500000000000018,602.5264181818181
1789766682038,btc-updown-5m-1789766400,0.09,0.5,67.38,0.59,0.405,27.2889,629.8153181818182
1789768449781,btc-updown-5m-1789768200,0.03,0.98,136.33,1.01,-0.01500000000000001,-2.0449500000000014,627.7703681818182
1789768465395,btc-updown-5m-1789768200,0.03,0.98,16.33,1.01,-0.01500000000000001,-0.24495000000000014,627.5254181818182
1789768481257,btc-updown-5m-1789768200,0.03,0.99,333.33333333333337,1.02,-0.02500000000000002,-8.333333333333341,619.1920848484848
1789768496797,btc-updown-5m-1789768200,0.02,0.58,423.73,0.6,0.395,167.37335000000002,786.5654348484848
1789768731390,btc-updown-5m-1789768500,0.04,0.97,134.99,1.01,-0.01500000000000001,-2.0248500000000016,784.5405848484847
1789768747005,btc-updown-5m-1789768500,0.04,0.97,167.23,1.01,-0.01500000000000001,-2.5084500000000016,782.0321348484847
1789768762883,btc-updown-5m-1789768500,0.04,0.97,157.14,1.01,-0.01500000000000001,-2.3571000000000013,779.6750348484848
