anchor_ts_ms,market_slug,first_ask,second_ask,qty,pair_cost,net_edge_005,pnl,equity_after
1789765359942,btc-updown-5m-1789765200,0.11,0.9,98.56,1.01,-0.01500000000000001,-1.478400000000001,498.5216
1789765375566,btc-updown-5m-1789765200,0.11,0.9,181.8181818181818,1.01,-0.01500000000000001,-2.727272727272729,495.79432727272723
1789765390643,btc-updown-5m-1789765200,0.11,0.9,166.4,1.01,-0.01500000000000001,-2.4960000000000018,493.29832727272725
1789765405676,btc-updown-5m-1789765200,0.11,0.9,155.4,1.01,-0.01500000000000001,-2.3310000000000017,490.96732727272723
1789765420928,btc-updown-5m-1789765200,0.11,0.9,181.8181818181818,1.01,-0.01500000000000001,-2.727272727272729,488.2400545454545
1789765436494,btc-updown-5m-1789765200,0.11,0.9,181.8181818181818,1.01,-0.01500000000000001,-2.727272727272729,485.51278181818174
1789765452147,btc-updown-5m-1789765200,0.11,0.9,181.8181818181818,1.01,-0.01500000000000001,-2.727272727272729,482.785509090909
1789765467922,btc-updown-5m-1789765200,0.11,0.91,95.0,1.02,-0.02500000000000002,-2.3750000000000018,480.410509090909
1789765483599,btc-updown-5m-1789765200,0.1,0.91,100.0,1.01,-0.01500000000000001,-1.5000000000000009,478.910509090909
1789765498797,btc-updown-5m-1789765200,0.1,0.57,111.46,0.6699999999999999,0.32500000000000007,36.224500000000006,515.135009090909
1789765741765,btc-updown-5m-1789765500,0.07,0.93,7.0,1.0,-0.005,-0.035,515.100009090909
1789765757479,btc-updown-5m-1789765500,0.08,0.94,199.77,1.02,-0.02500000000000002,-4.994250000000004,510.105759090909
1789765773058,btc-updown-5m-1789765500,0.07,0.94,167.0,1.01,-0.01500000000000001,-2.5050000000000017,507.600759090909
1789765788917,btc-updown-5m-1789765500,0.07,0.28,207.0,0.35000000000000003,0.6449999999999999,133.515,641.115759090909
1789766650992,btc-updown-5m-1789766400,0.14,0.92,19.16,1.06,-0.06500000000000006,-1.2454000000000012,639.870359090909
1789766666619,btc-updown-5m-1789766400,0.1,0.94,50.0,1.04,-0.04500000000000003,-2.2500000000000018,637.620359090909
1789766682038,btc-updown-5m-1789766400,0.09,0.5,67.38,0.59,0.405,27.2889,664.909259090909
1789768449781,btc-updown-5m-1789768200,0.03,0.98,136.33,1.01,-0.01500000000000001,-2.0449500000000014,662.864309090909
1789768465395,btc-updown-5m-1789768200,0.03,0.98,16.33,1.01,-0.01500000000000001,-0.24495000000000014,662.619359090909
1789768481257,btc-updown-5m-1789768200,0.03,0.99,666.6666666666667,1.02,-0.02500000000000002,-16.666666666666682,645.9526924242424
1789768496797,btc-updown-5m-1789768200,0.02,0.58,423.73,0.6,0.395,167.37335000000002,813.3260424242424
1789768731390,btc-updown-5m-1789768500,0.04,0.97,134.99,1.01,-0.01500000000000001,-2.0248500000000016,811.3011924242423
1789768747005,btc-updown-5m-1789768500,0.04,0.97,167.23,1.01,-0.01500000000000001,-2.5084500000000016,808.7927424242423
1789768762883,btc-updown-5m-1789768500,0.04,0.97,157.14,1.01,-0.01500000000000001,-2.3571000000000013,806.4356424242424
1789768778640,btc-updown-5m-1789768500,0.04,0.97,219.84,1.01,-0.01500000000000001,-3.2976000000000023,803.1380424242424
1789768794467,btc-updown-5m-1789768500,0.04,0.49,160.1,0.53,0.46499999999999997,74.44649999999999,877.5845424242424
1789772608976,btc-updown-5m-1789772400,0.14,0.87,142.85714285714283,1.01,-0.01500000000000001,-2.1428571428571437,875.4416852813853
1789772624721,btc-updown-5m-1789772400,0.14,0.87,142.85714285714283,1.01,-0.01500000000000001,-2.1428571428571437,873.2988281385282
1789772640395,btc-updown-5m-1789772400,0.14,0.87,142.85714285714283,1.01,-0.01500000000000001,-2.1428571428571437,871.155970995671
1789772656040,btc-updown-5m-1789772400,0.14,0.87,29.29,1.01,-0.01500000000000001,-0.4393500000000003,870.7166209956711
1789772675638,btc-updown-5m-1789772400,0.14,0.45,142.85714285714283,0.5900000000000001,0.4049999999999999,57.85714285714283,928.573763852814
1789773246231,btc-updown-5m-1789773000,0.05,0.96,400.0,1.01,-0.01500000000000001,-6.0000000000000036,922.573763852814
1789773261808,btc-updown-5m-1789773000,0.05,0.96,189.78,1.01,-0.01500000000000001,-2.846700000000002,919.7270638528139
1789773277565,btc-updown-5m-1789773000,0.05,0.96,400.0,1.01,-0.01500000000000001,-6.0000000000000036,913.7270638528139
1789773293109,btc-updown-5m-1789773000,0.05,0.57,190.41,0.62,0.375,71.40375,985.1308138528138
1789775849650,btc-updown-5m-1789775700,0.08,0.93,250.0,1.01,-0.01500000000000001,-3.7500000000000027,981.3808138528138
1789775865448,btc-updown-5m-1789775700,0.08,0.92,30.0,1.0,-0.005,-0.15,981.2308138528139
1789775880571,btc-updown-5m-1789775700,0.09,0.93,185.0,1.02,-0.02500000000000002,-4.6250000000000036,976.6058138528139
1789775895623,btc-updown-5m-1789775700,0.08,0.91,58.27,0.99,0.005000000000000009,0.29135000000000055,976.8971638528138
1789775911109,btc-updown-5m-1789775700,0.1,0.92,145.0,1.02,-0.02500000000000002,-3.6250000000000027,973.2721638528138
1789775926111,btc-updown-5m-1789775700,0.09,0.92,25.0,1.01,-0.01500000000000001,-0.3750000000000002,972.8971638528138
1789775942036,btc-updown-5m-1789775700,0.09,0.92,5.0,1.01,-0.01500000000000001,-0.07500000000000005,972.8221638528138
1789775958519,btc-updown-5m-1789775700,0.09,0.93,72.54,1.02,-0.02500000000000002,-1.8135000000000014,971.0086638528138
1789775974353,btc-updown-5m-1789775700,0.08,0.93,37.45,1.01,-0.01500000000000001,-0.5617500000000004,970.4469138528139
1789775990100,btc-updown-5m-1789775700,0.08,0.61,186.93,0.69,0.30500000000000005,57.01365000000001,1027.460563852814
1789776473231,btc-updown-5m-1789776300,0.07,0.94,20.0,1.01,-0.01500000000000001,-0.3000000000000002,1027.160563852814
1789776489389,btc-updown-5m-1789776300,0.07,0.94,75.0,1.01,-0.01500000000000001,-1.1250000000000007,1026.035563852814
1789776505354,btc-updown-5m-1789776300,0.07,0.94,285.71428571428567,1.01,-0.01500000000000001,-4.285714285714287,1021.7498495670997
1789776520984,btc-updown-5m-1789776300,0.07,0.76,39.03,0.8300000000000001,0.16499999999999992,6.439949999999997,1028.1897995670997
1789776742369,btc-updown-5m-1789776600,0.14,0.87,142.85714285714283,1.01,-0.01500000000000001,-2.1428571428571437,1026.0469424242426
1789776757979,btc-updown-5m-1789776600,0.14,0.87,85.0,1.01,-0.01500000000000001,-1.2750000000000008,1024.7719424242425
1789776773161,btc-updown-5m-1789776600,0.14,0.98,142.85714285714283,1.12,-0.1250000000000001,-17.85714285714287,1006.9147995670996
1789776789162,btc-updown-5m-1789776600,0.03,0.98,522.8,1.01,-0.01500000000000001,-7.842000000000004,999.0727995670997
1789776804970,btc-updown-5m-1789776600,0.03,0.99,309.57,1.02,-0.02500000000000002,-7.7392500000000055,991.3335495670997
1789776820626,btc-updown-5m-1789776600,0.02,0.98,288.23,1.0,-0.005,-1.4411500000000002,989.8923995670997
1789776836472,btc-updown-5m-1789776600,0.03,0.98,492.79,1.01,-0.01500000000000001,-7.391850000000005,982.5005495670997
