anchor_ts_ms,market_slug,first_ask,second_ask,qty,pair_cost,net_edge_005,pnl,equity_after
1789765359942,btc-updown-5m-1789765200,0.11,0.9,98.56,1.01,-0.01500000000000001,-1.478400000000001,498.5216
1789765375566,btc-updown-5m-1789765200,0.11,0.9,223.79,1.01,-0.01500000000000001,-3.356850000000002,495.16474999999997
1789765390643,btc-updown-5m-1789765200,0.11,0.9,166.4,1.01,-0.01500000000000001,-2.4960000000000018,492.66875
1789765405676,btc-updown-5m-1789765200,0.11,0.9,155.4,1.01,-0.01500000000000001,-2.3310000000000017,490.33774999999997
1789765420928,btc-updown-5m-1789765200,0.11,0.9,325.96,1.01,-0.01500000000000001,-4.889400000000003,485.44834999999995
1789765436494,btc-updown-5m-1789765200,0.11,0.9,454.54545454545456,1.01,-0.01500000000000001,-6.818181818181823,478.63016818181814
1789765452147,btc-updown-5m-1789765200,0.11,0.9,235.23,1.01,-0.01500000000000001,-3.528450000000002,475.1017181818181
1789765467922,btc-updown-5m-1789765200,0.11,0.91,95.0,1.02,-0.02500000000000002,-2.3750000000000018,472.7267181818181
1789765483599,btc-updown-5m-1789765200,0.1,0.91,100.0,1.01,-0.01500000000000001,-1.5000000000000009,471.2267181818181
1789765498797,btc-updown-5m-1789765200,0.1,0.57,111.46,0.6699999999999999,0.32500000000000007,36.224500000000006,507.45121818181815
1789765741765,btc-updown-5m-1789765500,0.07,0.93,7.0,1.0,-0.005,-0.035,507.4162181818181
1789765757479,btc-updown-5m-1789765500,0.08,0.94,199.77,1.02,-0.02500000000000002,-4.994250000000004,502.4219681818181
1789765773058,btc-updown-5m-1789765500,0.07,0.94,167.0,1.01,-0.01500000000000001,-2.5050000000000017,499.9169681818181
1789765788917,btc-updown-5m-1789765500,0.07,0.28,207.0,0.35000000000000003,0.6449999999999999,133.515,633.4319681818181
1789766650992,btc-updown-5m-1789766400,0.14,0.92,19.16,1.06,-0.06500000000000006,-1.2454000000000012,632.1865681818181
1789766666619,btc-updown-5m-1789766400,0.1,0.94,50.0,1.04,-0.04500000000000003,-2.2500000000000018,629.9365681818181
1789766682038,btc-updown-5m-1789766400,0.09,0.5,67.38,0.59,0.405,27.2889,657.2254681818181
1789768449781,btc-updown-5m-1789768200,0.03,0.98,136.33,1.01,-0.01500000000000001,-2.0449500000000014,655.1805181818181
1789768465395,btc-updown-5m-1789768200,0.03,0.98,16.33,1.01,-0.01500000000000001,-0.24495000000000014,654.9355681818181
1789768481257,btc-updown-5m-1789768200,0.03,0.99,801.3,1.02,-0.02500000000000002,-20.032500000000013,634.9030681818181
