leg1_budget,initial_capital,final_capital,profit,return_pct,completed_pairs,wins,losses,win_rate_pct,max_drawdown,max_drawdown_pct,skipped_cash_leg1,hedge_reduced,hedge_failed,profitable_markets,losing_markets,best_market_pnl,worst_market_pnl
10.0,500.0,2486.8948786602323,1986.8948786602323,397.37897573204646,509,73,436,14.341846758349705,44.52108571428562,1.7858045588083433,0,151,0,54,23,156.75011666666666,-31.961628571428506
20.0,500.0,2845.9996995328793,2345.9996995328793,469.1999399065758,509,73,436,14.341846758349705,67.25405384615374,2.3545069102782556,0,226,0,53,24,198.18945000000002,-52.564992857142855
50.0,500.0,3104.132252152347,2604.132252152347,520.8264504304693,509,73,436,14.341846758349705,100.71495714285766,3.2298635551100623,0,283,0,50,27,224.3154,-81.29490714285697
