market_slug,trades,pnl,wins,total_cost
btc-updown-5m-1789768200,4,156.75011666666666,1,752.9732166666668
btc-updown-5m-1789823700,10,112.40894999999998,1,2358.5343833333336
btc-updown-5m-1789826700,10,91.94295000000001,1,1868.52705
btc-updown-5m-1789815600,9,90.14148333333337,1,1379.7951833333334
btc-updown-5m-1789765500,4,86.83999999999997,1,330.8742857142857
btc-updown-5m-1789783800,11,70.47937179487178,1,1159.9262692307693
btc-updown-5m-1789789200,2,68.6145,1,142.68550000000002
btc-updown-5m-1789824600,6,68.52547142857142,1,861.4116714285715
btc-updown-5m-1789777200,4,68.20965000000001,1,471.46035
btc-updown-5m-1789768500,5,64.25850000000004,1,775.0414999999999
btc-updown-5m-1789773000,4,62.55705000000002,1,717.6329499999999
btc-updown-5m-1789831800,10,61.50129999999999,1,724.1053666666667
btc-updown-5m-1789825500,4,59.225885714285724,2,316.43125714285713
btc-updown-5m-1789812600,10,53.34897777777777,1,1211.0643555555555
btc-updown-5m-1789811100,10,52.52284999999997,1,1876.90715
btc-updown-5m-1789826400,2,51.90219999999999,1,625.4177999999999
btc-updown-5m-1789797600,10,50.40170476190473,1,1017.5798825396826
btc-updown-5m-1789832100,5,48.37028809523812,1,416.1435214285714
btc-updown-5m-1789803000,4,48.07675000000001,2,979.51325
btc-updown-5m-1789799700,10,46.75680000000008,1,1318.9632
btc-updown-5m-1789808400,6,44.692099999999996,1,615.1679
btc-updown-5m-1789805100,11,44.028005555555595,1,1451.6797722222223
btc-updown-5m-1789835100,4,38.5623,1,168.8177
btc-updown-5m-1789797900,10,38.033106060606045,2,817.7186111111112
btc-updown-5m-1789794900,4,37.527721428571425,1,127.29084999999999
btc-updown-5m-1789805400,10,36.89581961371959,1,754.9868244089243
btc-updown-5m-1789790700,9,36.638404761904795,1,1200.9854047619046
btc-updown-5m-1789833000,5,34.96428571428567,1,300.75
btc-updown-5m-1789825800,6,33.381007142857136,1,740.4804214285714
btc-updown-5m-1789822800,3,32.87795,1,172.59205
btc-updown-5m-1789820100,6,30.32142857142852,1,376.82142857142856
btc-updown-5m-1789782000,5,28.9063,1,496.9137
btc-updown-5m-1789775700,10,28.2883222222222,2,661.0827888888889
btc-updown-5m-1789797000,5,28.017549999999986,1,1244.1791166666667
btc-updown-5m-1789778100,4,26.993866666666612,1,942.8728000000001
btc-updown-5m-1789790400,3,26.185,1,370.14833333333337
btc-updown-5m-1789772400,5,25.27493571428567,1,289.72935
btc-updown-5m-1789809600,6,24.854699999999966,1,678.2253000000001
btc-updown-5m-1789766400,3,23.793499999999995,1,112.7465
btc-updown-5m-1789778400,4,20.92824999999999,1,180.52175
btc-updown-5m-1789765200,10,19.1818181818182,1,908.090909090909
btc-updown-5m-1789806900,4,14.724050000000037,1,936.6192833333333
btc-updown-5m-1789813200,10,14.302576739926677,1,637.4914525641026
btc-updown-5m-1789792800,9,12.592749999999988,1,1808.75725
btc-updown-5m-1789803600,4,10.625071428571424,1,252.4520714285714
btc-updown-5m-1789819500,11,10.125668181818206,1,1376.5267560606062
btc-updown-5m-1789814700,9,9.163550000000022,1,1019.9331166666666
btc-updown-5m-1789779300,9,8.636363636363669,1,809.5454545454545
btc-updown-5m-1789781700,2,7.794750000000018,1,152.55524999999997
btc-updown-5m-1789801200,7,6.433157692307679,1,285.0829961538462
btc-updown-5m-1789782300,14,6.31097857142861,1,1643.800926190476
btc-updown-5m-1789827600,6,5.757857142857169,1,600.1364285714285
btc-updown-5m-1789776900,9,5.583526923076903,1,637.5659602564103
btc-updown-5m-1789776300,4,2.872092857142867,1,274.01505
btc-updown-5m-1789800900,1,-0.03329999999999966,0,6.6933
btc-updown-5m-1789800300,1,-0.09795000000000087,0,6.627950000000001
btc-updown-5m-1789818300,1,-0.3571428571428612,0,71.78571428571428
btc-updown-5m-1789827900,11,-0.5071428571428918,1,776.0749084249085
btc-updown-5m-1789828200,4,-0.5127272727272798,1,257.4218181818182
btc-updown-5m-1789807500,4,-0.7045499999999945,1,197.67454999999998
btc-updown-5m-1789832400,4,-1.0739499999999822,1,818.16395
btc-updown-5m-1789804500,5,-2.0607142857143343,1,292.775
btc-updown-5m-1789804200,11,-2.462663636363656,1,934.0341787878788
btc-updown-5m-1789822200,11,-6.0296363636363814,2,900.4631717171717
btc-updown-5m-1789836000,8,-6.1598901098901635,0,515.7203296703296
btc-updown-5m-1789827300,10,-8.134977777777799,1,533.7260888888889
btc-updown-5m-1789795500,5,-8.959048701298718,0,355.14671103896103
btc-updown-5m-1789830600,4,-9.513242857142876,1,285.59038571428573
btc-updown-5m-1789821600,10,-9.709946620046619,1,661.1354477855479
btc-updown-5m-1789802100,5,-9.721499999999901,1,1337.8215
btc-updown-5m-1789820700,10,-10.16214285714285,1,913.9135714285713
btc-updown-5m-1789830000,5,-11.696428571428555,0,708.1249999999999
btc-updown-5m-1789808700,8,-15.0,0,1015.0
btc-updown-5m-1789789500,4,-17.303700000000063,0,1004.2170333333335
btc-updown-5m-1789793400,5,-18.04561666666666,0,976.6422833333334
btc-updown-5m-1789806000,10,-31.000785714285726,0,1329.529357142857
btc-updown-5m-1789776600,11,-31.961628571428506,2,2035.987342857143
