market_slug,trades,pnl,wins,total_cost
btc-updown-5m-1789815600,9,224.3154,1,1712.2446
btc-updown-5m-1789833000,5,189.6318071428571,1,501.58105
btc-updown-5m-1789797900,10,174.71399999999986,2,2345.126
btc-updown-5m-1789783800,11,159.7691192307692,1,1715.9962653846153
btc-updown-5m-1789768200,4,149.23177743261755,1,1061.2251252626772
btc-updown-5m-1789772400,5,132.69651428571424,1,1020.8692
btc-updown-5m-1789765500,4,125.98075,1,454.78925000000004
btc-updown-5m-1789832100,5,123.81954999999999,1,759.77045
btc-updown-5m-1789797600,10,111.59610000000004,1,1844.0439000000001
btc-updown-5m-1789805400,10,107.77642857142857,1,1611.6264285714285
btc-updown-5m-1789826700,10,92.50120000000008,1,2529.4788
btc-updown-5m-1789813200,10,87.0721527472528,1,2122.168946153846
btc-updown-5m-1789808400,6,84.71119999999998,1,979.1288000000001
btc-updown-5m-1789823700,10,83.74944999999994,1,3631.16055
btc-updown-5m-1789820100,6,82.05359999999999,1,716.9664
btc-updown-5m-1789794900,4,81.98415,1,164.40585
btc-updown-5m-1789789200,2,68.6145,1,142.68550000000002
btc-updown-5m-1789777200,4,67.47059999999999,1,521.4694
btc-updown-5m-1789831800,10,67.30564999999999,1,731.64435
btc-updown-5m-1789768500,5,64.25850000000004,1,775.0414999999999
btc-updown-5m-1789825500,4,61.23735000000002,2,319.15265
btc-updown-5m-1789824600,6,59.93740000000011,1,1213.7826
btc-updown-5m-1789773000,4,52.96185000000004,1,1366.90815
btc-updown-5m-1789826400,2,51.51220000000001,1,651.8078
btc-updown-5m-1789803000,4,48.07675000000001,2,979.51325
btc-updown-5m-1789811100,10,46.370700000000035,1,2569.4692999999997
btc-updown-5m-1789835100,4,37.68945,1,227.88055
btc-updown-5m-1789775700,10,36.82550000000001,2,1325.3145
btc-updown-5m-1789799700,10,35.90975000000011,1,1840.48025
btc-updown-5m-1789822800,3,32.87795,1,172.59205
btc-updown-5m-1789805100,11,31.680050000000023,1,2290.98995
btc-updown-5m-1789825800,6,29.825850000000067,1,944.0041499999999
btc-updown-5m-1789809600,6,24.854699999999966,1,678.2253000000001
btc-updown-5m-1789766400,3,23.793499999999995,1,112.7465
btc-updown-5m-1789790700,9,23.393150000000006,1,1757.31685
btc-updown-5m-1789782000,5,21.80005000000007,1,788.2699499999999
btc-updown-5m-1789778400,4,20.92824999999999,1,180.52175
btc-updown-5m-1789779300,9,20.554340909090797,1,3806.5429318181823
btc-updown-5m-1789797000,5,18.77220000000007,1,1641.2078
btc-updown-5m-1789827900,11,17.897028571428496,1,1772.3658285714287
btc-updown-5m-1789778100,4,14.83615000000001,1,1467.53385
btc-updown-5m-1789806900,4,14.429350000000003,1,956.56065
btc-updown-5m-1789790400,3,10.967650000000102,1,1399.8556833333332
btc-updown-5m-1789812600,10,10.455172222222103,1,3257.705938888889
btc-updown-5m-1789803600,4,9.78175000000001,1,287.02825
btc-updown-5m-1789814700,9,8.408550000000027,1,1071.02145
btc-updown-5m-1789781700,2,7.794750000000018,1,152.55524999999997
btc-updown-5m-1789765200,10,7.4512181818181915,1,1958.8942363636363
btc-updown-5m-1789827600,6,4.96230000000002,1,725.3977
btc-updown-5m-1789801200,7,1.8218000000000014,1,597.1182
btc-updown-5m-1789800900,1,-0.03329999999999966,0,6.6933
btc-updown-5m-1789800300,1,-0.09795000000000087,0,6.627950000000001
btc-updown-5m-1789776300,4,-0.33554999999994806,1,491.06555
btc-updown-5m-1789818300,1,-0.4749999999999943,0,95.475
btc-updown-5m-1789807500,4,-0.7045499999999945,1,197.67454999999998
btc-updown-5m-1789832400,4,-1.0739499999999822,1,818.16395
btc-updown-5m-1789776900,9,-3.8344999999999914,1,1269.7945
btc-updown-5m-1789828200,4,-4.6318500000000045,1,465.42185
btc-updown-5m-1789819500,11,-6.470350000000032,1,1712.48035
btc-updown-5m-1789822200,11,-9.7056,2,1082.2856
btc-updown-5m-1789802100,5,-9.721499999999901,1,1337.8215
btc-updown-5m-1789827300,10,-9.957200000000007,1,608.4372000000001
btc-updown-5m-1789792800,9,-11.076749999999926,1,3028.3267499999997
btc-updown-5m-1789830600,4,-11.462850000000008,1,342.09285
btc-updown-5m-1789804500,5,-11.898700000000014,1,958.4787000000001
btc-updown-5m-1789795500,5,-12.628800000000004,0,472.54879999999997
btc-updown-5m-1789836000,8,-14.10960000000005,0,1129.2896
btc-updown-5m-1789821600,10,-15.862800000000032,1,963.0228000000001
btc-updown-5m-1789782300,14,-18.224999999999895,1,2723.805
btc-updown-5m-1789789500,4,-20.92955000000002,0,1166.3195500000002
btc-updown-5m-1789830000,5,-21.958449999999942,0,1274.02845
btc-updown-5m-1789820700,10,-25.614500000000003,1,1658.3945
btc-updown-5m-1789804200,11,-26.67859999999999,1,2281.3786
btc-updown-5m-1789793400,5,-34.06659999999991,0,1725.3066
btc-updown-5m-1789808700,8,-48.78405000000026,0,3301.05405
btc-updown-5m-1789806000,10,-61.294449999999884,0,2362.1844499999997
btc-updown-5m-1789776600,11,-81.29490714285697,2,3278.967764285714
